# AKC Herding Group Breeds and Key Traits (Quick Reference)

| Group: Herding (AKC) | Breed | Typical Height (in) | Typical Weight (lb) | Coat Type | Primary Use/Notes |
| --- | --- | --- | --- | --- | --- |
| Herding | Border Collie | 18–22 | 30–55 | Medium, double | High-drive herding, very trainable |
| Herding | Australian Shepherd | 18–23 | 40–65 | Medium, double | Versatile ranch dog, energetic |
| Herding | German Shepherd Dog | 22–26 | 50–90 | Double | Police/service work, protective |
| Herding | Belgian Malinois | 22–26 | 40–80 | Short, double | Sport/working, intense, agile |
| Herding | Pembroke Welsh Corgi | 10–12 | 24–30 | Double | Low stature herder, bold |
| Herding | Shetland Sheepdog | 13–16 | 15–25 | Long, double | Small herder, vocal |
| Herding | Old English Sheepdog | 21–24 | 60–100 | Long, shaggy | Drover/herder, heavy coat |
| Herding | Collie (Rough) | 22–26 | 50–75 | Long, double | Family companion, herding heritage |
| Herding | Australian Cattle Dog | 17–20 | 35–50 | Short, double | Heeler, tough working dog |
