# NHL Goaltenders — Age and Games Played (Selected Seasons Summary)

| Goaltender | Team | Season | Age | Games Played | Wins | Notes |
|---|---|---:|---:|---:|---:|---|
| Jacob Markstrom | Vancouver Canucks | 2019-20 | 30 | 43 | 23 | Primary starter for most of season |
| Thatcher Demko | Vancouver Canucks | 2019-20 | 24 | 27 | 10 | Increased workload late season |
| Frederik Andersen | Toronto Maple Leafs | 2019-20 | 30 | 52 | 29 | High-usage starter |
| Tuukka Rask | Boston Bruins | 2019-20 | 33 | 41 | 26 | Split starts with Halak |
| Jaroslav Halak | Boston Bruins | 2019-20 | 34 | 31 | 18 | Veteran backup |
| Connor Hellebuyck | Winnipeg Jets | 2019-20 | 26 | 58 | 31 | Heavy minutes; Vezina-caliber year |
| Andrei Vasilevskiy | Tampa Bay Lightning | 2019-20 | 25 | 52 | 35 | Elite starter |
| Carter Hart | Philadelphia Flyers | 2019-20 | 21 | 43 | 24 | Young starter |
| Robin Lehner | Vegas Golden Knights | 2019-20 | 28 | 36 | 19 | Split season across two teams |
| Marc-Andre Fleury | Vegas Golden Knights | 2019-20 | 35 | 49 | 27 | Veteran starter/1A role |
