# Qualitative Risk Categories for Water-, Food-, and Vector-borne Diseases (Quick-Compare)

| Category | Disease | Main route | Risk level (qualitative) | Main risk driver (qualitative) | Common setting |
|---|---|---|---|---|---|
| Waterborne | Cholera | Drinking water contaminated with Vibrio cholerae | High | Rapid dehydration; explosive outbreaks | Humanitarian crises, low sanitation areas |
| Waterborne | Cryptosporidiosis | Recreational water, contaminated drinking water | Intermediate | Hardy oocysts; chlorine tolerance | Pools, childcare, municipal failures |
| Waterborne | Viral gastroenteritis (norovirus-like) | Fecal–oral, surfaces, food handling | Intermediate | Very contagious; short incubation | Cruises, schools, nursing homes |
| Waterborne | Giardiasis | Untreated surface water | Low | Prolonged symptoms but low mortality | Camping, daycare outbreaks |
| Foodborne | E. coli O157:H7 infection | Undercooked beef, unpasteurized products | High | Risk of HUS and kidney injury | Food supply incidents |
| Foodborne | Salmonellosis | Eggs, poultry, produce | Low | Usually self-limited | Common sporadic cases |
| Vector-borne | Malaria (falciparum predominant) | Anopheles mosquitoes | High | Severe disease without prompt therapy | Endemic tropical regions |
| Vector-borne | Dengue | Aedes mosquitoes | Intermediate | Severe dengue in a subset | Urban/tropical outbreaks |
| Zoonotic | Rabies | Bites from infected mammals | Very high | Near-100% fatal after symptom onset | Areas with canine rabies |
| Respiratory | Measles | Airborne | High | Extremely high transmissibility | Low vaccination coverage clusters |
| Respiratory | Seasonal influenza | Droplets/aerosols | Intermediate | High incidence; severity varies | Global seasonal circulation |
| Contact/Healthcare | MRSA skin/soft tissue infection | Direct contact, contaminated surfaces | Intermediate | Treatment failures/resistance in some cases | Hospitals, gyms, households |
