# Postpartum Hemorrhage  Relative Frequency of Causes and Suggested Immediate Interventions

| Cause category | Share of PPH cases (%) | Typical clinical clues | First actions | Escalation |
|---|---:|---|---|---|
| Uterine atony | 70 | Boggy enlarged uterus | Bimanual massage + uterotonics | Balloon tamponade |
| Genital tract trauma | 20 | Firm uterus, ongoing bleeding | Repair lacerations | OR evaluation |
| Retained placental tissue | 10 | Subinvolution, continued bleeding | Manual exploration | Curettage |
| Coagulopathy (DIC, etc.) | 1 | Oozing, abnormal labs | Blood products | ICU care |
| Uterine inversion | 0.2 | Shock, mass at cervix | Replace uterus | Surgery if needed |
| Placenta accreta spectrum | 0.5 | Prior C-section, adherent placenta | Prepare massive transfusion | Hysterectomy |
| Uterine rupture | 0.1 | Pain, fetal distress history | Resuscitate | Laparotomy |
| Amniotic fluid embolism | 0.01 | Sudden hypoxia, collapse | Supportive care | Critical care |
| Cervical/uterine AVM | 0.05 | Recurrent heavy bleeding | Imaging/embolization | IR/surgery |
| Medication-related uterine relaxation | 0.3 | Recent tocolytics | Stop agent | Add uterotonics |
| Infection-associated atony | 0.4 | Fever, foul lochia | Antibiotics | Source control |
