# Healthy Food Cost Comparison by Item (Grocery, Convenience, and Prepared Options)

| Category | Item / Meal Choice | Portion Size | Typical Price (USD) | Sold At | Why It's Considered Healthy |
| --- | --- | --- | --- | --- | --- |
| Produce | Bananas | 1 medium (118 g) | 0.25–0.45 | Grocery store | High in potassium and fiber; convenient whole food |
| Produce | Baby carrots | 1 bag (1 lb / 454 g) | 1.00–1.80 | Grocery store | Low-calorie snack; fiber and beta-carotene |
| Protein (canned) | Canned tuna (in water) | 1 can (5 oz / 142 g) | 1.20–2.50 | Grocery store | Lean protein; omega-3s (varies by type) |
| Protein (dairy) | Plain Greek yogurt | 1 cup (170 g) | 1.00–1.80 | Grocery store | High protein; no added sugar when plain |
| Grains | Rolled oats | 1 container (18 oz / 510 g) | 2.50–4.50 | Grocery store | Whole grain; inexpensive fiber-rich breakfast base |
| Pantry | Peanut butter (natural) | 1 jar (16 oz / 454 g) | 2.50–5.00 | Grocery store | Healthy fats + protein; filling (watch portion size) |
| Frozen | Frozen mixed vegetables | 1 bag (12–16 oz / 340–454 g) | 1.50–3.00 | Grocery store | Budget-friendly produce; easy to add to meals |
| Prepared (ready-to-eat) | Salad kit (bagged) | 1 kit (10–12 oz / 283–340 g) | 3.50–6.00 | Grocery store | Quick vegetables-forward meal base (check dressing amount) |
| Convenience | Hummus + pretzel thins pack | 1 snack pack (2–3 oz / 57–85 g) | 2.00–3.50 | Convenience store | Better snack balance (protein/fiber) than candy/chips |
| Prepared (fast-casual) | Grilled chicken salad bowl | 1 bowl | 9.00–13.00 | Fast-casual restaurant | Lean protein + veggies; customizable toppings |
| Prepared (coffee shop) | Egg white & veggie wrap | 1 wrap | 4.50–7.00 | Coffee shop | Protein-forward breakfast; includes vegetables |
| Prepared (supermarket) | Rotisserie chicken + side salad | 1 meal (about 2 servings) | 9.00–14.00 | Supermarket deli | Protein + vegetables; can feed more than one meal |
