# Major Hominin Species  Discovery Context and What Each Find Changed in Evolutionary Interpretations

| Species / group | Approx. age range (years ago) | First described (publication era) | Type of discovery context | Geographic region of key find(s) | What the discovery clarified about hominin evolution | Notes on evidence type |
| --- | --- | --- | --- | --- | --- | --- |
| *Australopithecus africanus* | ~3,300,000–2,100,000 | 1925 | Juvenile skull found in a quarry (Taung Child) | South Africa | Supported the idea that Africa held early human ancestors; shifted attention away from Europe/Asia-centric origins. | Morphology (cranial/dental) |
| *Paranthropus robustus* | ~2,000,000–1,200,000 | 1938 | Cave/karst fossil recovery at Kromdraai | South Africa | Highlighted robust chewing adaptations and the presence of multiple coexisting hominin lineages (“side branches”). | Morphology (cranial) |
| *Paranthropus boisei* | ~2,300,000–1,200,000 | 1959 | Field expedition fossil discovery (OH 5) | Olduvai Gorge, Tanzania | Demonstrated extreme dietary specialization; reinforced that early human evolution was not a single linear progression. | Morphology (skull) |
| *Homo naledi* | ~335,000–236,000 | 2015 | Deep cave chamber excavation (Dinaledi) | Rising Star Cave, South Africa | Complicated the timeline by showing a small-brained hominin persisting surprisingly late, alongside early modern humans. | Morphology; later direct dating |
| *Homo floresiensis* | ~100,000–60,000 | 2004 | Cave archaeology with associated tools | Flores, Indonesia | Provided evidence for island dwarfism/unique *Homo* lineages in SE Asia; broadened expectations of recent hominin diversity. | Morphology; stratigraphic context |
| Denisovans | ~200,000–40,000 (evidence varies) | 2010 | Ancient DNA identified from fragmentary bone/tooth | Siberia (Denisova Cave); gene flow signals in Oceania/Asia | Revealed an archaic group largely invisible in morphology; showed interbreeding with modern humans and Neanderthals. | Genomics + limited morphology |
| Neanderthals (*H. neanderthalensis*) | ~400,000–40,000 | 1856 | Fossil recognized as non-modern human in a limestone quarry | Germany (Neander Valley) and wider Eurasia | Anchored the concept of extinct human relatives; later genomics confirmed admixture with *H. sapiens*. | Morphology + genomics |
| *Homo sapiens* (early modern humans) | ~315,000–present | 2017 (Jebel Irhoud redating/analysis) | Reanalysis and improved dating of existing fossils | Morocco | Pushed back the emergence of early *H. sapiens* and suggested a pan-African origin with regional variation. | Morphology + geochronology |
| *Homo heidelbergensis* (sensu lato) | ~700,000–200,000 | 1908 | Fossil jaw from sand pit (Mauer) | Germany; comparable fossils in Africa/Europe | Often treated as a candidate ancestor of Neanderthals and/or modern humans; frames Middle Pleistocene transitions. | Morphology; debated taxonomy |
| *Homo erectus* | ~1,900,000–110,000 | 1892–1894 | Colonial-era fieldwork and fossil interpretation (Java) | Indonesia; later Africa/China finds | Established long-lived, wide-ranging early *Homo* with dispersal beyond Africa; key for understanding endurance and adaptability. | Morphology; archaeology in some sites |
| *Australopithecus afarensis* | ~3,900,000–2,900,000 | 1978 | Multiple-site field projects; famous partial skeleton and footprints | Ethiopia & Tanzania | Strengthened the case that bipedalism preceded large brains; clarified early australopith anatomy and variability. | Morphology + ichnology (footprints) |
