# Household Products Database Snapshot (Percent Column Present but Missing Values for Most Ingredients)

| Chemical | CAS No. | Percent of formula | Product category | Comment |
|---|---|---|---|---|
| Sodium hypochlorite | 7681-52-9 | — | Bleach cleaner | Listed as active ingredient |
| Sodium hydroxide | 1310-73-2 | — | Drain opener | Listed as corrosive agent |
| Ammonium hydroxide | 1336-21-6 | — | Glass cleaner | Listed on label |
| Isopropyl alcohol | 67-63-0 | — | Glass cleaner | Solvent |
| D-Limonene | 5989-27-5 | — | All-purpose cleaner | Fragrance/solvent |
| Citric acid | 77-92-9 | — | Descaler | Chelating acid |
| Hydrogen peroxide | 7722-84-1 | — | Disinfecting spray | Oxidizer |
| Benzalkonium chloride | 8001-54-5 | — | Disinfecting wipes | Quat surfactant |
| Sodium laureth sulfate | 9004-82-4 | — | Dish soap | Surfactant |
| Water | 7732-18-5 | — | Many | Carrier |
