# Cancer Hormone Therapy Agents and Endocrine Modulators (Oncology Focus)

| Agent | Category | Hormone/Receptor Targeted | Common Indication | Typical Therapeutic Effect |
|---|---|---|---|---|
| Tamoxifen | SERM | Estrogen receptor | ER+ breast cancer | Blocks ER signaling in breast tissue |
| Fulvestrant | SERD | Estrogen receptor | Metastatic ER+ breast cancer | Degrades ER and inhibits transcription |
| Anastrozole | Aromatase inhibitor | Estrogen synthesis | Postmenopausal ER+ breast cancer | Lowers systemic estrogen levels |
| Letrozole | Aromatase inhibitor | Estrogen synthesis | ER+ breast cancer | Suppresses estrogen production |
| Exemestane | Aromatase inhibitor | Estrogen synthesis | ER+ breast cancer | Irreversible aromatase inactivation |
| Leuprolide | GnRH agonist | Pituitary GnRH receptor | Prostate cancer | Medical castration via LH/FSH suppression |
| Goserelin | GnRH agonist | Pituitary GnRH receptor | Prostate/breast cancer | Downregulates gonadotropin release |
| Degarelix | GnRH antagonist | Pituitary GnRH receptor | Prostate cancer | Rapid LH/FSH blockade |
| Flutamide | Antiandrogen | Androgen receptor | Prostate cancer | Blocks androgen receptor activation |
| Abiraterone | Steroid synthesis inhibitor | CYP17A1 | Metastatic prostate cancer | Decreases androgen production |
| Megestrol acetate | Progestin | Progesterone receptor | Cachexia; some cancers | Appetite stimulation; endocrine modulation |
