# Stocks - Signals | Bottom Signals Stocks

| Sym | TGH | FSTR | IDSY | ABGB | WSTC | CVX | ICL | BKD | NL | ELGX | LSCC | VSH | XOM | HYH | GPX | TNET | CAP | FCH | VECO | EPIQ | ASMI | MDU | TRS | ABY | SPP | EML | CGNX | ENLC | BOX | GLT | BHI | TAC | BBG | ERA | MGRC | USAP | WNRL | ATW | SWN | MMYT | GLRE | NRG | DLNG | AAPL | KNOP | AMID | MDP | BTH | NGLS | PH | CNX | BRKS | H | CHEF | TGP | LINE | DNOW | LGCY | SALE | FIG | WMC | DDD | KMI | RNF | AVH | TNGO | GCA | EARN | MEMP | ARCW | BEN | GTLS | ATE | AXTI | TAL | ARII | Z | FLR | HLIT | HSII | UNT | TK | AREX | QRVO | IRDM | SEMI | AP | SBR | LNCO | NEP | MNK | SLAB | UNTD | TNH | PDLI | SGY | DGICA | HCLP | TINY | NTK |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Name | Textainer Group Holdings | L.B. Foster Company | I.D. Systems | Abengoa S.A. | West Corp | Chevron Corp | Israel Chemicals Ltd. | Brookdale Senior Living Inc | NL Industries | Endologix Inc | Lattice Semiconductor Corp | Vishay Intertechnology | Exxon Mobil Corp | Halyard Health Inc. Common Sto | Gp Strategies Corp | Trinet Group Inc | Cai International | Felcor Lodging Trust Inc | Veeco Instruments Inc | Epiq Systems | Asm International N.V. | Mdu Res Group Inc | Trimas Corp | Abengoa Yield Plc | Sanchez Production Partners | Eastern Company | Cognex Corp | Enlink Midstream Llc | Box Inc | Glatfelter | Baker Hughes Inc | Transalta Corp | Bill Barrett Corp | Era Group Inc. Common Stock W | Mcgrath Rentcorp | Universal Stainless & Alloy | Western Refining Logistics LP | Atwood Oceanics | Southwestern Energy Company | Makemytrip Limited | Greenlight Capital Re | NRG Energy | Dynagas Lng Partners LP | Apple Inc | Knot Offshore Partners LP Comm | American Midstreampartners LP | Meredith Corp | Blyth Inc | Targa Resources Partners LP | Parker-Hannifin Corp | Consol Energy Inc | Brooks Automation | Hyatt Hotels Corp | The Chefs' Warehouse Inc | Teekay Lng Partners L.P. | Linn Energy Llc | Now Inc. Common Stock When Iss | Legacy Reserves LP | Retailmenot Inc | Fortress Investment Group | Western Asset Mortgage Capital | 3D Systems Corp | Kinder Morgan | Rentech Nitrogen Partners L.P | Avianca Holdings S.A. | Tangoe Inc | Global Cash Access Holdings | Ellington Residential Mortgage | Memorial Production Partners | Arc Group Worldwide Inc. | Franklin Resources | Chart Industries | Advantest Corporation Ads | Axt Inc | Tal International Group | American Railcar Industries | Zillow Inc. Cl A | Fluor Corp | Harmonic Inc | Heidrick & Struggles Internati | Unit Corp | Teekay Shipping Corp | Approach Resources Inc | Qorvo Inc. | Iridium Communications Inc | Sunedison Semiconductor Limite | Ampco-Pittsburgh Corp | Sabine Royalty Trust | Linn Co Llc | Nextera Energy Partners LP | Mallinckrodt Plc Ordinary Shar | Silicon Laboratories | United Online | Terra Nitrogen Company L.P. | Pdl Biopharma | Stone Energy Corp | Donegal Group | Hi-Crush Partners LP | Harris & Harris Group | Nortek Inc |
| Last | 18.46 | 21.00 | 3.96 | 6.00 | 24.68 | 85.21 | 6.33 | 30.66 | 5.24 | 12.01 | 4.15 | 10.79 | 77.17 | 35.08 | 25.77 | 16.33 | 13.18 | 8.90 | 24.00 | 14.50 | 41.15 | 17.38 | 18.59 | 23.21 | 12.74 | 16.83 | 35.00 | 25.29 | 14.45 | 19.58 | 55.30 | 5.96 | 4.93 | 15.98 | 24.57 | 12.00 | 23.98 | 19.07 | 17.18 | 13.80 | 26.56 | 20.04 | 13.60 | 114.64 | 13.75 | 10.29 | 47.36 | 4.33 | 33.51 | 107.90 | 14.46 | 9.72 | 54.07 | 16.16 | 26.10 | 3.45 | 16.62 | 6.51 | 14.11 | 6.66 | 13.42 | 11.79 | 33.66 | 11.24 | 8.14 | 10.49 | 4.81 | 13.43 | 9.34 | 3.28 | 45.21 | 25.66 | 8.46 | 2.22 | 20.55 | 37.71 | 74.20 | 46.55 | 5.83 | 20.35 | 17.86 | 33.77 | 3.44 | 55.06 | 6.95 | 13.02 | 12.67 | 31.30 | 3.30 | 32.62 | 106.73 | 42.98 | 13.49 | 103.03 | 5.67 | 5.29 | 14.14 | 15.09 | 2.37 | 75.22 |
| Today's Opinion | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 96% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 96% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 96% Sell | 100% Sell | 100% Sell | 100% Sell | 96% Sell | 88% Sell | 100% Sell | 96% Sell | 100% Sell | 96% Sell | 96% Sell | 100% Sell | 100% Sell | 96% Sell | 100% Sell | 96% Sell | 100% Sell | 96% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 100% Sell | 96% Sell | 88% Sell | 100% Sell | 96% Sell | 96% Sell | 88% Sell | 100% Sell | 96% Sell | 100% Sell | 96% Sell | 96% Sell | 96% Sell | 100% Sell | 88% Sell | 100% Sell | 100% Sell | 96% Sell | 96% Sell | 88% Sell | 96% Sell | 100% Sell | 100% Sell |
| 20-Day Rel Str | 17.77% | 13.35% | 21.44% | 14.09% | 19.69% | 27.48% | 34.70% | 27.09% | 22.30% | 22.14% | 19.92% | 27.32% | 32.87% | 24.64% | 24.05% | 17.88% | 16.10% | 25.97% | 23.90% | 23.11% | 33.76% | 33.67% | 18.34% | 13.92% | 29.42% | 28.27% | 17.24% | 24.55% | 33.74% | 30.22% | 35.54% | 23.01% | 32.33% | 22.96% | 20.04% | 23.46% | 32.62% | 28.68% | 29.60% | 22.67% | 30.88% | 33.36% | 28.70% | 31.48% | 25.29% | 25.16% | 33.01% | 14.88% | 31.56% | 33.36% | 22.90% | 28.14% | 37.09% | 26.72% | 27.87% | 21.78% | 32.62% | 33.43% | 20.59% | 30.25% | 26.50% | 21.21% | 22.10% | 21.40% | 32.15% | 24.26% | 19.94% | 25.84% | 23.80% | 28.10% | 26.46% | 29.78% | 24.91% | 34.88% | 16.69% | 26.93% | 36.28% | 31.94% | 28.37% | 21.98% | 22.63% | 26.91% | 23.49% | 24.32% | 24.22% | 24.52% | 30.45% | 29.38% | 19.16% | 22.12% | 31.31% | 24.92% | 32.55% | 26.71% | 32.38% | 23.09% | 32.90% | 22.31% | 31.54% | 38.40% |
| 20-Day His Vol | 59.41% | 99.99% | 109.10% | 148.22% | 52.69% | 28.13% | 30.19% | 29.18% | 62.53% | 59.64% | 52.86% | 22.01% | 24.30% | 47.28% | 42.40% | 171.52% | 45.68% | 28.69% | 34.07% | 43.14% | 35.25% | 41.82% | 72.29% | 31.39% | 82.83% | 13.83% | 86.41% | 25.79% | 51.11% | 25.53% | 29.86% | 30.38% | 85.43% | 27.99% | 32.20% | 54.37% | 46.42% | 49.37% | 51.74% | 82.52% | 19.97% | 47.45% | 31.88% | 28.18% | 55.53% | 57.59% | 21.81% | 32.52% | 42.08% | 20.31% | 52.59% | 34.02% | 24.17% | 46.69% | 32.86% | 149.73% | 50.65% | 106.51% | 30.73% | 27.35% | 24.06% | 56.38% | 15.67% | 29.80% | 44.58% | 29.47% | 69.33% | 16.01% | 70.26% | 85.67% | 15.18% | 49.60% | 33.23% | 23.49% | 76.15% | 44.61% | 50.07% | 37.84% | 31.70% | 27.30% | 44.76% | 34.55% | 52.75% | 63.30% | 36.11% | 45.30% | 28.91% | 38.56% | 145.13% | 31.50% | 55.43% | 45.55% | 34.80% | 28.51% | 26.80% | 89.10% | 19.03% | 65.14% | 37.70% | 35.42% |
| 20-Day Avg Vol | 321,136 | 92,751 | 81,662 | 92,694 | 399,011 | 8,670,643 | 131,550 | 2,912,174 | 17,262 | 1,000,263 | 1,397,758 | 1,835,615 | 12,928,638 | 692,696 | 80,153 | 1,112,193 | 134,111 | 1,035,364 | 375,881 | 85,035 | 2,669 | 1,323,307 | 349,560 | 963,884 | 3,963 | 9,564 | 800,467 | 264,357 | 1,252,167 | 140,214 | 4,931,718 | 126,664 | 2,624,906 | 107,559 | 138,972 | 44,863 | 132,652 | 2,720,903 | 9,669,806 | 497,458 | 131,586 | 4,723,024 | 144,421 | 55,969,938 | 92,392 | 85,902 | 196,210 | 18,037 | 906,346 | 1,584,962 | 8,191,975 | 147,395 | 339,260 | 84,706 | 301,402 | 6,957,421 | 1,054,816 | 554,622 | 365,932 | 569,890 | 653,574 | 3,251,016 | 13,840,384 | 83,252 | 151,000 | 156,003 | 663,618 | 37,263 | 1,286,372 | 57,358 | 2,493,326 | 584,734 | 12,409 | 56,602 | 576,770 | 287,721 | 2,068,223 | 1,826,363 | 475,050 | 71,006 | 951,801 | 654,630 | 904,560 | 2,744,700 | 1,271,790 | 436,070 | 36,846 | 36,062 | 3,588,697 | 340,744 | 1,175,630 | 406,273 | 127,207 | 20,352 | 2,727,298 | 1,643,293 | 25,634 | 515,007 | 68,736 | 17,156 |
| 52-Wk Low | 18.30 | 20.23 | 3.90 | 5.77 | 24.02 | 84.68 | 6.28 | 29.91 | 5.19 | 10.29 | 4.07 | 10.62 | 76.93 | 32.82 | 24.15 | 14.82 | 13.01 | 8.87 | 21.52 | 13.99 | 32.65 | 17.30 | 18.00 | 21.00 | 11.51 | 15.15 | 32.35 | 25.20 | 14.17 | 19.52 | 47.51 | 5.89 | 4.90 | 15.49 | 23.48 | 11.81 | 23.97 | 18.97 | 16.98 | 13.25 | 26.46 | 19.91 | 13.35 | 93.28 | 13.62 | 10.10 | 41.95 | 4.26 | 33.46 | 99.82 | 13.62 | 9.68 | 53.31 | 14.80 | 25.94 | 3.26 | 16.46 | 6.12 | 13.29 | 5.58 | 13.25 | 11.71 | 33.25 | 8.75 | 8.02 | 10.49 | 4.69 | 12.67 | 8.70 | 3.20 | 45.03 | 25.45 | 8.35 | 2.08 | 19.76 | 37.50 | 73.75 | 45.14 | 5.61 | 18.61 | 17.75 | 33.38 | 3.30 | 54.37 | 6.80 | 12.85 | 12.61 | 30.51 | 3.23 | 28.95 | 67.18 | 36.29 | 10.27 | 90.55 | 5.62 | 5.19 | 14.12 | 15.05 | 2.35 | 70.73 |
| 52-Wk High | 36.22 | 54.82 | 7.88 | 30.75 | 35.98 | 129.53 | 8.28 | 39.89 | 9.27 | 18.07 | 7.79 | 16.34 | 100.31 | 50.92 | 37.86 | 38.00 | 25.70 | 12.43 | 38.40 | 19.95 | 50.80 | 31.73 | 33.36 | 40.47 | 42.30 | 20.67 | 52.48 | 41.74 | 24.39 | 27.58 | 70.51 | 11.80 | 24.59 | 27.27 | 38.79 | 32.45 | 36.50 | 49.67 | 41.23 | 31.93 | 35.18 | 33.92 | 24.55 | 134.54 | 28.30 | 32.01 | 57.22 | 10.37 | 74.51 | 133.41 | 42.26 | 13.48 | 64.52 | 24.08 | 44.21 | 31.80 | 33.50 | 31.43 | 21.68 | 8.65 | 15.81 | 54.24 | 44.71 | 16.60 | 16.50 | 15.13 | 8.53 | 18.21 | 23.84 | 25.00 | 59.43 | 72.23 | 13.85 | 3.05 | 46.50 | 82.82 | 148.54 | 75.52 | 7.98 | 26.73 | 66.04 | 67.98 | 20.68 | 88.35 | 11.36 | 27.93 | 22.28 | 58.69 | 31.57 | 48.23 | 134.26 | 58.54 | 18.15 | 158.70 | 10.26 | 37.17 | 16.47 | 71.88 | 3.85 | 89.92 |
| Links |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
