# Olympus Camera Accessories and Body Add-ons Used with Olympus Digital SLRs

| Accessory | Category | Compatible with | Function | Notes |
| --- | --- | --- | --- | --- |
| HLD-4 Battery Grip | Grip | Selected Olympus Four Thirds DSLR bodies | Extended power and handling | Often paired with enthusiast bodies |
| RM-1 Wireless Remote | Remote | Olympus DSLR line (varies) | Remote shutter release | Requires compatible IR receiver |
| FL-36R Flash | Flash | Olympus hot-shoe cameras | TTL flash with wireless | Used across multiple systems |
| FL-50R Flash | Flash | Olympus hot-shoe cameras | Higher-power TTL flash | Popular with Olympus shooters |
| ME-1 Power Battery Holder | Power | Olympus DSLR bodies (varies) | Extra battery capacity | Model-specific fit |
| UC-1 USB Cable | Cable | Olympus digital cameras | Data transfer | Typically bundled |
| Strap “Olympus E-System” | Carry | Olympus DSLR bodies | Carrying strap | Branding accessory |
| EE-1 Dot Sight | Aiming | Telephoto setups | Targeting aid | Often used for birds |
| Olympus VF-2 EVF | Viewfinder | Olympus bodies with accessory port | External EVF | More common on mirrorless |
| Olympus Underwater Housing | Housing | Specific Olympus cameras | Waterproofing | Usually compact-camera focused |
| Hot-shoe TTL Off-camera Cord | Lighting | Olympus TTL flash users | Off-camera flash | Third-party alternatives common |
| Sensor Cleaning Kit | Maintenance | All interchangeable-lens cameras | Dust removal | Not brand-specific |
