# Oscar Recognition Snapshot for Selected Best Picture Winners (Films and Award Outcomes)

| Film | Release Year | Oscar Outcome (Best Picture) | Total Nominations | Total Wins | Notable Oscar Wins (Selected Categories) | Notable Oscar Nominations (Selected Categories) |
|---|---:|---|---:|---:|---|---|
| The Godfather | 1972 | Won | 11 | 3 | Best Picture; Best Actor; Best Adapted Screenplay | Best Director; Best Supporting Actor (2 nominees) |
| One Flew Over the Cuckoo's Nest | 1975 | Won | 9 | 5 | Best Picture; Director; Actor; Actress; Adapted Screenplay | Best Supporting Actor; Film Editing |
| Amadeus | 1984 | Won | 11 | 8 | Best Picture; Director; Actor; Adapted Screenplay | Best Supporting Actor; Cinematography |
| Schindler's List | 1993 | Won | 12 | 7 | Best Picture; Director; Adapted Screenplay | Best Actor; Best Supporting Actor |
| Titanic | 1997 | Won | 14 | 11 | Best Picture; Director; Cinematography | Best Actress; Best Supporting Actress |
| The Lord of the Rings: The Return of the King | 2003 | Won | 11 | 11 | Best Picture; Director; Adapted Screenplay | Best Actor; Best Cinematography |
| No Country for Old Men | 2007 | Won | 8 | 4 | Best Picture; Director; Supporting Actor | Best Adapted Screenplay; Film Editing |
| The King's Speech | 2010 | Won | 12 | 4 | Best Picture; Actor; Director | Best Supporting Actor; Film Editing |
| Parasite | 2019 | Won | 6 | 4 | Best Picture; Director; Original Screenplay | Best International Feature Film |
