# General Nutrition Food Types and Macros (Mentions Blood Types Only in Notes, No ABO Categorization)

| Food Type | Example Foods | Typical Carbs (g/serving) | Typical Protein (g/serving) | Typical Fat (g/serving) | General Note |
|---|---|---:|---:|---:|---|
| Whole grains | Brown rice; oats; quinoa | 25-40 | 4-8 | 2-6 | Often considered healthier than refined grains |
| Refined grains | White bread; pasta | 30-45 | 3-7 | 1-4 | Higher glycemic impact |
| Leafy vegetables | Spinach; kale | 3-8 | 1-3 | 0-1 | High micronutrients |
| Cruciferous vegetables | Broccoli; cabbage | 4-10 | 2-4 | 0-1 | Fiber-rich |
| Dairy | Milk; yogurt; cheese | 5-15 | 6-12 | 3-12 | Lactose intolerance varies by person |
| Red meat | Beef; lamb | 0 | 20-30 | 8-20 | Saturated fat can be high |
| Fish | Salmon; cod | 0 | 18-28 | 2-15 | Omega-3 content varies |
| Legumes | Lentils; chickpeas | 20-35 | 8-15 | 1-4 | Good plant protein |
| Fruit | Apples; berries | 15-30 | 0-2 | 0-1 | Consider portion size |
| Nuts & seeds | Almonds; walnuts | 5-10 | 5-8 | 12-20 | Energy dense; watch servings |
| Notes | "Some diets (including blood-type diets) claim different responses." |  |  |  | No ABO-specific guidance provided |
