# Human Disease Biomarkers Panel  Example Compounds and Associated Conditions

| Biomarker (sample type) | Associated disease/condition | Typical direction | Clinical use | Common assay | Notes |
| --- | --- | --- | --- | --- | --- |
| C-reactive protein (serum) | Bacterial infection, inflammatory diseases | Increased | Monitoring inflammation | Immunoassay | Non-specific |
| Procalcitonin (serum) | Sepsis, bacterial pneumonia | Increased | Antibiotic stewardship | Immunoassay | Lower in viral infections |
| D-dimer (plasma) | Thrombosis, severe infection | Increased | Rule-out VTE | Immunoassay | Elevated in many acute illnesses |
| HbA1c (blood) | Diabetes mellitus | Increased | Long-term glycemic control | HPLC/Immunoassay | Reflects ~3 months |
| Troponin I/T (serum) | Myocardial infarction, myocarditis | Increased | Cardiac injury detection | Immunoassay | Time-dependent rise |
| ALT/AST (serum) | Viral hepatitis, drug-induced liver injury | Increased | Liver injury screening | Enzymatic assay | ALT more liver-specific |
| Creatinine (serum) | Renal disease, dehydration | Increased | Kidney function | Enzymatic assay | Depends on muscle mass |
| Ferritin (serum) | Inflammation, iron overload | Increased | Severity marker in hyperinflammation | Immunoassay | Acute phase reactant |
| IL-6 (serum) | Cytokine release syndromes, severe infections | Increased | Prognosis/monitoring | Immunoassay | Short half-life |
| Lactate (plasma) | Shock, sepsis | Increased | Tissue hypoperfusion | Blood gas analyzer | Prognostic in critical illness |
