# Household Cleaning Product Ingredient Strengths (Percent Composition, w w or w v)

| Ingredient (active) | Typical household product form | Strength value | Basis (w/w or w/v) | Notes on labeling (strength-only) |
|---|---|---:|---|---|
| Sodium hypochlorite (NaOCl) | Liquid chlorine bleach | 5.25% | w/w | Common consumer bleach label strength |
| Sodium hypochlorite (NaOCl) | Concentrated liquid bleach | 8.25% | w/w | Higher-strength household bleach |
| Hydrogen peroxide (H2O2) | Antiseptic/cleaning solution | 3% | w/v | Standard “3% peroxide” retail bottle |
| Hydrogen peroxide (H2O2) | Hair bleach/developer (household) | 6% | w/v | Often sold as “20 volume” equivalent |
| Acetic acid (CH3COOH) | White vinegar | 5% | w/v | Typical grocery vinegar acidity |
| Isopropyl alcohol (IPA) | Rubbing alcohol | 70% | v/v | Widely sold as “70% IPA” |
| Isopropyl alcohol (IPA) | Rubbing alcohol (higher) | 91% | v/v | Another common consumer concentration |
| Ammonium hydroxide (NH4OH, as ammonia) | Household ammonia cleaner | 5% | w/w | Strength usually stated as % ammonia |
| Sodium hydroxide (NaOH) | Drain opener (lye-based) | 30% | w/w | Many liquid drain openers are tens of % |
| Hydrochloric acid (HCl) | Toilet bowl cleaner (acid) | 9.5% | w/w | Consumer acids often single-digit to ~10% |
| Sodium bicarbonate (NaHCO3) | Baking soda | 100% | w/w | Sold as essentially pure powder |
| Sodium carbonate (Na2CO3) | Washing soda | 100% | w/w | Sold as essentially pure powder |
