# Asian Countries  Capital Cities and Official Currencies (Quick Reference)

| Country | Subregion (Asia) | Capital | Official currency | ISO 4217 code |
|---|---|---|---|---|
| Japan | East Asia | Tokyo | Japanese yen | JPY |
| South Korea | East Asia | Seoul | South Korean won | KRW |
| China | East Asia | Beijing | Renminbi (yuan) | CNY |
| Mongolia | East Asia | Ulaanbaatar | Mongolian tögrög | MNT |
| Thailand | Southeast Asia | Bangkok | Thai baht | THB |
| Vietnam | Southeast Asia | Hanoi | Vietnamese đồng | VND |
| Malaysia | Southeast Asia | Kuala Lumpur | Malaysian ringgit | MYR |
| Singapore | Southeast Asia | Singapore | Singapore dollar | SGD |
| Indonesia | Southeast Asia | Jakarta | Indonesian rupiah | IDR |
| Philippines | Southeast Asia | Manila | Philippine peso | PHP |
| India | South Asia | New Delhi | Indian rupee | INR |
| Pakistan | South Asia | Islamabad | Pakistani rupee | PKR |
| Bangladesh | South Asia | Dhaka | Bangladeshi taka | BDT |
| Nepal | South Asia | Kathmandu | Nepalese rupee | NPR |
