# Capitals Quiz Sheet  Country–Capital plus Multiple-Choice Options

| Country | Correct Capital | Option A | Option B | Option C | Option D |
|---|---|---|---|---|---|
| France | Paris | Lyon | Marseille | Paris | Nice |
| Japan | Tokyo | Osaka | Kyoto | Tokyo | Nagoya |
| Brazil | Brasília | Rio de Janeiro | São Paulo | Salvador | Brasília |
| Canada | Ottawa | Toronto | Ottawa | Vancouver | Montreal |
| India | New Delhi | Mumbai | Kolkata | New Delhi | Chennai |
| Australia | Canberra | Sydney | Melbourne | Perth | Canberra |
| Egypt | Cairo | Alexandria | Cairo | Giza | Luxor |
| Mexico | Mexico City | Guadalajara | Puebla | Tijuana | Mexico City |
| Kenya | Nairobi | Mombasa | Nairobi | Kisumu | Nakuru |
| Thailand | Bangkok | Chiang Mai | Phuket | Bangkok | Pattaya |
| Germany | Berlin | Munich | Hamburg | Berlin | Frankfurt |
