# Torrent Sites and Indexing Services Directory (Not Client Apps)

| Site/Service | Category | Focus | Access Type | Registration | Notes |
| --- | --- | --- | --- | --- | --- |
| The Pirate Bay | Indexer | General | Web | Optional | Directory of torrents |
| 1337x | Indexer | General | Web | Optional | Categorized listings |
| isoHunt (archived) | Indexer | Search | Web | Optional | Historical service |
| Torrentz2 | Meta-search | Search | Web | null | Aggregates results |
| Demonoid | Community tracker/indexer | Mixed | Web | Required | Community-driven |
| HDBits | Private tracker | HD video | Web | Invite-only | Curated content |
| YTS | Indexer | Movies | Web | null | Movie-focused |
| Nyaa | Indexer | Anime | Web | Optional | Anime content |
| RARBG (archived) | Indexer | General | Web | null | Historical service |
| EZTV | Indexer | TV | Web | null | TV releases |
| RuTracker | Forum tracker/indexer | Mixed | Web | Required | Forum-based |
