# Townlands in County Kerry (Selected) — Area by Townland

| County | Civil Parish | Townland | Area (acres) | Area (ha) | Notes |
|---|---|---|---:|---:|---|
| Kerry | Annagh | Ballymore | 312 | 126.3 | Townland-level unit |
| Kerry | Annagh | Knocknaboul | 184 | 74.5 | Townland-level unit |
| Kerry | Ballymacelligott | Gortatlea | 521 | 210.8 | Townland-level unit |
| Kerry | Ballymacelligott | Kilflynn | 97 | 39.3 | Townland-level unit |
| Kerry | Dingle | Ballyferriter | 1,104 | 446.7 | Townland-level unit |
| Kerry | Dingle | Ventry | 845 | 342.0 | Townland-level unit |
| Kerry | Kilcummin | Killarney Rural | 266 | 107.6 | Townland-level unit |
| Kerry | Kilgarvan | Ardtully | 433 | 175.2 | Townland-level unit |
| Kerry | Sneem | Tahilla | 1,309 | 529.7 | Townland-level unit |
| Kerry | Valentia | Knightstown | 58 | 23.5 | Townland-level unit |
| Kerry | Waterville | Inny | 402 | 162.7 | Townland-level unit |
