# Solar Elemental Composition (Photosphere) — Mass Fraction and Number Abundance

| Group | Element | Symbol | Mass fraction (approx.) | Number fraction (approx.) | Notes |
| --- | --- | --- | --- | --- | --- |
| Primary | Hydrogen | H | 0.738 | 0.920 | Dominant by particle count |
| Primary | Helium | He | 0.249 | 0.078 | Second most abundant |
| Metals (total) | All elements heavier than He | Z | 0.013 | 0.002 | Sum of metals; photospheric |
| Metals (major) | Oxygen | O | 0.0096 | 0.00049 | Largest metal contributor |
| Metals (major) | Carbon | C | 0.0030 | 0.00027 | Key contributor to Z |
| Metals (major) | Neon | Ne | 0.0015 | 0.00010 | Inferred largely from coronal lines |
| Metals (major) | Iron | Fe | 0.0013 | 0.000031 | Important for opacity |
| Metals (major) | Nitrogen | N | 0.0011 | 0.000067 |  |
| Metals (major) | Silicon | Si | 0.00065 | 0.000032 |  |
| Metals (major) | Magnesium | Mg | 0.00058 | 0.000034 |  |
| Metals (major) | Sulfur | S | 0.00040 | 0.000016 |  |
| Metals (minor) | Calcium | Ca | 0.000065 | 0.0000022 |  |
| Metals (minor) | Nickel | Ni | 0.000074 | 0.0000016 |  |
