# Lifestyle and Chronic Disease Risk Factors (Non-communicable Focus)

| Condition | Primary risk factor category | Examples of risk drivers | Typical exposure context | Preventive action |
|---|---|---|---|---|
| Lung cancer | Lifestyle | Smoking, secondhand smoke | Long-term inhalation of tobacco smoke | Smoking cessation, smoke-free environments |
| Type 2 diabetes | Lifestyle/Metabolic | High-calorie diet, inactivity | Years of energy imbalance | Weight management, exercise |
| Coronary heart disease | Lifestyle/Metabolic | High LDL, hypertension, smoking | Chronic cardiovascular strain | Statins, diet, BP control |
| COPD | Lifestyle/Occupational | Smoking, occupational dusts | Long-term airway irritation | Avoid smoke/dust, inhalers |
| Stroke | Clinical | Atrial fibrillation, hypertension | Chronic vascular risk | Anticoagulation, BP control |
| Osteoporosis | Nutritional/Hormonal | Low calcium/vitamin D, menopause | Long-term bone density loss | Supplements, weight-bearing exercise |
| Depression | Psychosocial | Stress, trauma, sleep disruption | Persistent psychosocial exposure | Therapy, sleep hygiene |
| Chronic kidney disease | Clinical | Diabetes, hypertension | Long-term microvascular injury | Glycemic/BP control |
| Obesity | Lifestyle | Diet, sedentary behavior | Sustained caloric surplus | Behavioral interventions |
| Asthma (non-infectious triggers) | Environmental | Allergens, air pollution | Intermittent inhalational triggers | Allergen control, inhalers |
