# Football Clubs by Home Base  City and Country Reference Table

| Club | Home City | Country | Region/State | Notes |
|---|---|---|---|---|
| Derby County | Derby | England | East Midlands | Home city equals club base |
| Leeds United | Leeds | England | West Yorkshire | Based in Leeds |
| Nottingham Forest | Nottingham | England | Nottinghamshire | Based in Nottingham |
| Sheffield Wednesday | Sheffield | England | South Yorkshire | Based in Sheffield |
| Sunderland | Sunderland | England | Tyne and Wear | Based in Sunderland |
| Reading | Reading | England | Berkshire | Based in Reading |
| Leicester City | Leicester | England | Leicestershire | Based in Leicester |
| Cardiff City | Cardiff | Wales | Cardiff | Based in Cardiff |
| Luton Town | Luton | England | Bedfordshire | Based in Luton |
| Charlton Athletic | London (Charlton) | England | Greater London | Based in Charlton, London |
| Gillingham | Gillingham | England | Kent | Based in Gillingham |
