# Research Institutions and Their Notable Breakthrough Areas (Not Individual Discoveries)

| Institution | Country | Main research area | Notable breakthrough area (broad) | Year founded | Funding model | Reference link type |
| --- | --- | --- | --- | --- | --- | --- |
| Weizmann Institute of Science | Israel | Multidisciplinary | immunology and systems biology | 1934 | public/private | institutional website |
| Max Planck Society | Germany | Basic science | quantum optics and neuroscience | 1948 | public | annual reports |
| CNRS | France | Multidisciplinary | materials and climate science | 1939 | public | press office |
| NIH | United States | Biomedical | genomics and clinical trials | 1887 | public | grants database |
| CERN | Switzerland | Particle physics | collider experiments | 1954 | intergovernmental | experiment pages |
| NASA | United States | Space science | planetary missions | 1958 | public | mission portals |
| RIKEN | Japan | Multidisciplinary | supercomputing and life science | 1917 | public | institute news |
| Wellcome Sanger Institute | United Kingdom | Genomics | population genomics | 1992 | charity/public | publications list |
| Allen Institute | United States | Neuroscience/AI | brain atlases | 2003 | private philanthropy | datasets portal |
| Woods Hole Oceanographic Institution | United States | Ocean science | deep-sea exploration | 1930 | mixed | expedition reports |
