# Ototoxic and Neurotoxic Medications  Chemotherapy Agents and Monitoring Considerations

| Drug Category | Drug | Common Use | Ototoxicity Risk | Monitoring Focus |
|---|---|---|---|---|
| Platinum chemotherapy | Cisplatin | Solid tumors | High | Audiometry; cumulative dose |
| Platinum chemotherapy | Carboplatin | Ovarian/lung cancers | Moderate | Renal function; hearing checks |
| Antitumor antibiotic | Bleomycin | Lymphoma/testicular cancer | Low–moderate | Pulmonary toxicity monitoring |
| Antitumor antibiotic | Actinomycin D | Pediatric/rare tumors | Possible | Hepatic function |
| Alkylating agent | Nitrogen mustard | Lymphoma | Possible | CBC; infection risk |
| Vinca alkaloid | Vincristine | Leukemia/lymphoma | Possible | Neuropathy assessment |
| Loop diuretic | Furosemide (IV high-dose) | Edema/heart failure | Possible | Electrolytes; hearing symptoms |
| Aminoglycoside | Gentamicin | Severe infections | High | Drug levels; renal function |
| Salicylate (high-dose) | Aspirin | Anti-platelet/pain at higher doses | Reversible tinnitus | Dose reduction if symptoms |
