# Top Speed Leaderboard — Racing Video Game Cars and Unlock Requirements

| Game Title | Car (In-Game) | Claimed Top Speed (mph) | Class/Tier | How to Unlock | Track/Mode |
|---|---|---:|---|---|---|
| Forza Horizon 5 | Koenigsegg Jesko (tuned) | 310 | S2 | Buy at Autoshow | Highway Sprint |
| Need for Speed: Heat | McLaren P1 GTR (build) | 245 | Hyper | Reach Rep 50 | Night Races |
| Gran Turismo 7 | Bugatti Veyron 16.4 | 253 | Gr.X | License + credits | Special Stage X |
| The Crew 2 | Hennessey Venom GT | 270 | Hypercar | Live Summit reward | Airport Runway |
| Asphalt 9 | Rimac Concept_One | 220 | A | Card packs | Multiplayer |
| Project CARS 2 | Ferrari 488 GT3 | 190 | GT3 | Default | Career |
| Forza Motorsport 7 | Nissan GT-R Nismo | 205 | R | Buy | Test Track |
| Need for Speed: Unbound | Lamborghini Aventador SVJ | 217 | S+ | Story chapter reward | Lakeshore |
| Gran Turismo Sport | Porsche 919 Hybrid | 210 | LMP1 | Brand central | Time Trial |
| Midnight Club: LA | Saleen S7 | 220 | Exotic | Win tournament | Cruise |
| Burnout Paradise | Carson GT Concept | 240 | Special | Smash gates | Road Rage |
| Test Drive Unlimited 2 | Pagani Zonda | 217 | A7 | Dealer purchase | Free roam |
