# Olympus Digital SLR Comparison (Four Thirds)  Positioning and Feature Highlights by Model

| Model | Product tier | Release year | Sensor format | Typical use case | Weather sealing | Live View | Notable distinguishing features |
|---|---|---:|---|---|---|---|---|
| E-1 | Professional | 2003 | Four Thirds | Pro field/photojournalism | Yes | No | First pro E-System body; durable build and controls |
| E-500 | Entry / Standard | 2005 | Four Thirds | Family/travel DSLR | No | No | Compact traditional DSLR layout; broad kit availability |
| E-330 | Enthusiast (early Live View) | 2006 | Four Thirds | Studio/low-angle composition | No | Yes | Pioneering DSLR Live View approach |
| E-410 | Entry | 2007 | Four Thirds | Lightweight everyday shooting | No | Yes | Small body; dust reduction; simple operation |
| E-510 | Entry (stabilized) | 2007 | Four Thirds | Handheld general use | No | Yes | In-body stabilization introduced to entry line |
| E-3 | Professional | 2007 | Four Thirds | Outdoor/action with Zuiko Pro lenses | Yes | Yes | Rugged sealed body; articulated LCD; pro handling |
| E-420 | Entry (ultra-compact) | 2008 | Four Thirds | Travel/packing-light | No | Yes | Very small DSLR body; minimal weight |
| E-520 | Entry / Mid | 2008 | Four Thirds | Budget stabilized DSLR | No | Yes | In-body IS; improved grip/controls over E-420 |
| E-30 | Advanced amateur | 2008 | Four Thirds | Enthusiast features without flagship cost | Partial (varies by spec sheet) | Yes | Articulated LCD; advanced feature set vs entry bodies |
| E-620 | Advanced amateur (compact) | 2009 | Four Thirds | Enthusiast travel + flexibility | No | Yes | Articulated LCD in a small body; in-body IS |
| E-5 | Professional | 2010 | Four Thirds | Pro work needing durability | Yes | Yes | Flagship Four Thirds DSLR; robust sealing and controls |
