# South & West Asia  Country-to-Currency Mapping with ISO 4217 Codes

| Region | Country | Currency | ISO 4217 code | Notes |
|---|---|---|---|---|
| South Asia | India | Indian rupee | INR | |
| South Asia | Pakistan | Pakistani rupee | PKR | |
| South Asia | Bangladesh | Taka | BDT | |
| South Asia | Sri Lanka | Sri Lankan rupee | LKR | |
| South Asia | Nepal | Nepalese rupee | NPR | |
| South Asia | Bhutan | Ngultrum | BTN | Pegged to INR |
| South Asia | Maldives | Rufiyaa | MVR | |
| West Asia (Middle East) | United Arab Emirates | UAE dirham | AED | |
| West Asia (Middle East) | Saudi Arabia | Saudi riyal | SAR | |
| West Asia (Middle East) | Qatar | Qatari riyal | QAR | |
| West Asia (Middle East) | Kuwait | Kuwaiti dinar | KWD | |
| West Asia (Middle East) | Bahrain | Bahraini dinar | BHD | |
| West Asia (Middle East) | Oman | Omani rial | OMR | |
| West Asia (Middle East) | Jordan | Jordanian dinar | JOD | |
| West Asia (Middle East) | Iraq | Iraqi dinar | IQD | |
| West Asia (Middle East) | Iran | Iranian rial | IRR | |
| West Asia (Middle East) | Israel | New shekel | ILS | |
| West Asia (Middle East) | Yemen | Yemeni rial | YER | |
