# Retail Bank 1-Year Term Deposit Rates by Country and Bank (Selected Institutions, 2023)

| Country | Bank / Institution | Product | Term | Advertised Deposit Rate (APY) | Notes |
|---|---|---|---|---:|---|
| United States | Chase | CD | 12 months | 4.60% | Online offer, minimum balance applies |
| United States | Bank of America | CD | 12 months | 4.25% | Promotional rate for new money |
| Canada | RBC | GIC | 1 year | 4.70% | Non-redeemable |
| Canada | TD Canada Trust | GIC | 1 year | 4.55% | Branch rate |
| United Kingdom | HSBC UK | Fixed Saver | 1 year | 5.10% | Requires current account |
| Germany | Deutsche Bank | Term Deposit | 12 months | 3.20% | Online-only |
| France | BNP Paribas | Term Deposit | 12 months | 3.10% | Minimum €10,000 |
| Japan | MUFG | Time Deposit | 1 year | 0.15% | Standard rate |
| Australia | Commonwealth Bank | Term Deposit | 12 months | 4.85% | Special for existing customers |
| India | State Bank of India | Fixed Deposit | 1 year | 6.80% | Senior citizen add-on not shown |
