# U.S. States (A–M)  Capital City vs. Largest City (by City-Only Population)

| State | Capital (government seat) | Largest city (city proper) | Same city? | Notes |
|---|---|---|---|---|
| Alabama | Montgomery | Huntsville | No | Largest city is based on city proper population, not metro area. |
| Alaska | Juneau | Anchorage | No |  |
| Arizona | Phoenix | Phoenix | Yes |  |
| Arkansas | Little Rock | Little Rock | Yes |  |
| California | Sacramento | Los Angeles | No |  |
| Colorado | Denver | Denver | Yes |  |
| Connecticut | Hartford | Bridgeport | No |  |
| Delaware | Dover | Wilmington | No |  |
| Florida | Tallahassee | Jacksonville | No | Jacksonville is a consolidated city-county. |
| Georgia | Atlanta | Atlanta | Yes |  |
| Hawaii | Honolulu | Honolulu | Yes |  |
| Idaho | Boise | Boise | Yes |  |
| Illinois | Springfield | Chicago | No |  |
| Indiana | Indianapolis | Indianapolis | Yes |  |
| Iowa | Des Moines | Des Moines | Yes |  |
| Kansas | Topeka | Wichita | No |  |
| Kentucky | Frankfort | Louisville | No |  |
| Louisiana | Baton Rouge | New Orleans | No |  |
| Maine | Augusta | Portland | No |  |
| Maryland | Annapolis | Baltimore | No |  |
| Massachusetts | Boston | Boston | Yes |  |
| Michigan | Lansing | Detroit | No |  |
| Minnesota | Saint Paul | Minneapolis | No |  |
| Mississippi | Jackson | Jackson | Yes |  |
| Missouri | Jefferson City | Kansas City | No |  |
