# Solar Photospheric Abundances (Log Scale, Relative to Hydrogen)

| Element | Symbol | Atomic Number | Photospheric Abundance A(X) (log10, H=12) | Approx. Number Ratio (X/H) | Typical Diagnostic Lines |
|---|---|---:|---:|---:|---|
| Hydrogen | H | 1 | 12.00 | 1.00e+00 | Balmer series (Hα 656.3 nm) |
| Helium | He | 2 | 10.93 | 8.51e-02 | He I 587.6 nm (weak in photosphere) |
| Carbon | C | 6 | 8.43 | 2.69e-04 | C I lines (near-IR/visible) |
| Nitrogen | N | 7 | 7.83 | 6.76e-05 | N I lines (visible/near-IR) |
| Oxygen | O | 8 | 8.69 | 4.90e-04 | [O I] 630.0 nm, O I triplet |
| Neon | Ne | 10 | 7.93 | 8.51e-05 | Coronal lines; inferred for photosphere |
| Sodium | Na | 11 | 6.24 | 1.74e-06 | Na D 589.0/589.6 nm |
| Magnesium | Mg | 12 | 7.60 | 3.98e-05 | Mg b triplet ~517 nm |
| Aluminum | Al | 13 | 6.45 | 2.82e-06 | Al I 394.4/396.2 nm |
| Silicon | Si | 14 | 7.51 | 3.24e-05 | Si I lines (visible) |
| Sulfur | S | 16 | 7.12 | 1.32e-05 | S I multiplets |
| Calcium | Ca | 20 | 6.34 | 2.19e-06 | Ca II H&K 396.8/393.4 nm |
| Iron | Fe | 26 | 7.50 | 3.16e-05 | Numerous Fe I/Fe II lines |
| Nickel | Ni | 28 | 6.22 | 1.66e-06 | Ni I lines (visible) |
