# Countries and Currencies (Asia Mixed with Europe and the Americas)

| Region | Country | Currency |
| --- | --- | --- |
| Asia | Japan | Japanese yen |
| Asia | India | Indian rupee |
| Asia | Saudi Arabia | Saudi riyal |
| Asia | Singapore | Singapore dollar |
| Europe | Germany | Euro |
| Europe | United Kingdom | Pound sterling |
| Americas | United States | United States dollar |
| Americas | Canada | Canadian dollar |
| Oceania | Australia | Australian dollar |
| Africa | Nigeria | Nigerian naira |
