# England Players by Number of Appearances Under Roy Hodgson

| No. | 1155 | 1125 | 1160 | 1168 | 1174 | 1156 | 1162 | 1099 | 1167 | 1170 | No. | 1181 | 1128 | 1097 | 1190 | 1142 | 1199 | 1179 | 1175 | 1176 | 1106 | No. | 1196 | 1184 | 1151 | 1195 | 1153 | 1178 | 1108 | 1131 | 1197 | 1129 | No. | 1127 | 1165 | 1204 | 1171 | 1206 | 1201 | 1202 | 1187 | 1146 | 1198 | No. | 1205 | 1134 | 1191 | 1207 | 1143 | 1163 | 1194 | 1140 | 1189 | 1200 | No. | 1183 | 1185 | 1100 | 1203 | 1187 | 1186 | 1208 | 1192 | 1193 | 1161 | No. | 1209 | 1177 | 1182 | - | - | - | - | - | - | 1083 | No. | 1164 | - |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Name | Joe Hart | Wayne Rooney | James Milner | Gary Cahill | Danny Welbeck | Phil Jagielka | Leighton Baines | Steven Gerrard | Jack Wilshere | Jordan Henderson | Name | Alex Oxlade-Chamberlain | Glen Johnson | Frank Lampard | Raheem Sterling | Theo Walcott | Adam Lallana | Daniel Sturridge | Chris Smalling | Phil Jones | Ashley Cole | Name | Ross Barkley | Tom Cleverley | Joleon Lescott | Rickie Lambert | Ashley Young | Kyle Walker | Michael Carrick | Jermain Defoe | Andros Townsend | Scott Parker | Name | John Terry | Kieran Gibbs | Fabian Delph | Andy Carroll | Nathanial Clyne | Luke Shaw | John Stones | Ryan Bertrand | Ben Foster | Fraser Forster | Name | Calum Chambers | Stewart Downing | Leon Osman | Harry Kane | Aaron Lennon | Adam Johnson | Wilfried Zaha | Rob Green | Steven Caulker | Jay Rodríguez | Name | Jack Butland | John Ruddy | Gareth Barry | Jon Flanagan | Jonjo Shelvey | Jake Livermore | Ryan Mason | Ryan Shawcross | Carl Jenkinson | Tom Huddlestone | Name | Jamie Vardy | Jack Rodwell | Martin Kelly | Charlie Austin | Tom Heaton | Saido Berahino | Danny Rose | Alex McCarthy | Steven Taylor | Rio Ferdinand | Name | Michael Dawson | Jack Colback |
| Pos | G | F | M | CD | F | CD | LB | M | M | M | Pos | M | RB | M | M | F | M | F | CD | D | LB | Pos | M | M | D | F | M | D | M | F | M | M | Pos | CD | LB | M | F | RB | LB | CD | LB | G | G | Pos | RB | M | M | F | M | M | F | G | CD | M | Pos | G | G | M | RB | M | M | M | CD | RB | CD | Pos | F | M | RB | F | G | F | LB | G | D | D | Pos | D | F |
| Clubs | Manchester City FC | Manchester United FC | Manchester City FC | Chelsea FC | Manchester United FC, Arsenal FC | Everton FC | Everton FC | Liverpool FC | Arsenal FC | Liverpool FC | Clubs | Arsenal FC | Liverpool FC | Chelsea FC | Liverpool FC | Arsenal FC | Southampton FC, Liverpool FC | Chelsea FC, Liverpool FC | Manchester United FC | Manchester United FC | Chelsea FC | Clubs | Everton FC | Manchester United FC | Manchester City FC | Southampton FC, Liverpool FC | Manchester United FC | Tottenham Hotspur FC | Manchester United FC | Tottenham Hotspur FC, Toronto FC | Tottenham Hotspur FC | Tottenham Hotspur FC | Clubs | Chelsea FC | Arsenal FC | Aston Villa | Liverpool FC, West Ham United FC | Southampton FC | Southampton FC, Manchester United | Everton FC | Chelsea FC, Southampton FC | West Bromwich Albion FC | The Celtic FC | Clubs | Arsenal FC | Liverpool FC, West Ham United FC | Everton FC | Tottenham Hotspur FC | Tottenham Hotspur FC | Manchester City FC | Crystal Palace FC, Manchester United FC | West Ham United FC | Tottenham Hotspur FC, Cardiff City FC | Southampton FC | Clubs | Birmingham City FC | Norwich City FC | Manchester City FC | Liverpool FC | Liverpool FC | Tottenham Hotspur FC | Tottenham Hotspur FC | Stoke City FC | Arsenal FC | Tottenham Hotspur FC | Clubs | Liecester City FC | Manchester City FC | Liverpool FC | Queen's Park Rangers FC | Reading FC | West Bromwich Albion FC | Tottenham Hotspur FC | Reading FC | Newcastle United FC | Manchester United FC | Clubs | Tottenham Hotspur FC | Newcastle United FC |
| St | 35 | 29 | 17 | 28 | 22 | 21 | 20 | 22 | 16 | 14 | St | 10 | 18 | 12 | 11 | 8 | 8 | 11 | 11 | 11 | 12 | St | 2 | 10 | 9 | 3 | 9 | 8 | 7 | 4 | 4 | 6 | St | 6 | 4 | 5 | 3 | 4 | 3 | 2 | 1 | 2 | 2 | St | 2 | 2 | 1 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | St | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | St | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | St | 0 | 0 |
| Sub on | 0 | 2 | 12 | 0 | 6 | 5 | 3 | 1 | 7 | 7 | Sub on | 10 | 0 | 4 | 5 | 10 | 8 | 3 | 3 | 2 | 1 | Sub on | 11 | 2 | 2 | 8 | 1 | 1 | 3 | 5 | 5 | 1 | Sub on | 0 | 2 | 1 | 3 | 1 | 1 | 2 | 3 | 1 | 1 | Sub on | 1 | 0 | 1 | 1 | 2 | 1 | 2 | 0 | 0 | 0 | Sub on | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | Sub on | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Sub on | 0 | 0 |
| App | 35 | 31 | 29 | 29 | 28 | 26 | 23 | 23 | 23 | 21 | App | 20 | 18 | 16 | 16 | 16 | 16 | 14 | 14 | 13 | 13 | App | 13 | 12 | 11 | 11 | 10 | 9 | 9 | 9 | 9 | 7 | App | 6 | 6 | 6 | 6 | 5 | 4 | 4 | 4 | 3 | 3 | App | 3 | 2 | 2 | 2 | 2 | 2 | 2 | 1 | 1 | 1 | App | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | App | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | App | 0 | 0 |
| Sub off | 2 | 14 | 5 | 3 | 11 | 4 | 4 | 7 | 10 | 5 | Sub off | 5 | 3 | 4 | 5 | 6 | 6 | 3 | 1 | 4 | 5 | Sub off | 1 | 6 | 0 | 2 | 4 | 0 | 1 | 2 | 3 | 3 | Sub off | 2 | 1 | 2 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | Sub off | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | Sub off | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Sub off | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Sub off | 0 | 0 |
| Not Used | 2 | 0 | 7 | 5 | 3 | 11 | 10 | 9 | 1 | 4 | Not Used | 3 | 4 | 5 | 4 | 2 | 1 | 1 | 6 | 12 | 3 | Not Used | 6 | 4 | 4 | 8 | 1 | 5 | 5 | 12 | 7 | 0 | Not Used | 0 | 6 | 2 | 3 | 3 | 6 | 1 | 4 | 12 | 20 | Not Used | 3 | 6 | 1 | 0 | 1 | 2 | 0 | 9 | 4 | 1 | Not Used | 8 | 13 | 0 | 2 | 3 | 1 | 3 | 2 | 0 | 0 | Not Used | 1 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 1 | 0 | Not Used | 0 | 0 |
| G | 23 GA | 19 | 1 | 1 | 14 | 3 | 1 | 2 | 2 | 0 | G | 4 | 0 | 6 | 1 | 2 | 0 | 5 | 0 | 0 | 0 | G | 0 | 0 | 1 | 3 | 2 | 0 | 0 | 3 | 3 | 0 | G | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 2 GA | 3 GA | G | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 GA | 1 | 0 | G | 1 GA | 0 GA | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | G | 0 | 0 | 0 | 0 | 0 GA | 0 | 0 | 0 GA | 0 | 0 | G | 0 | 0 |
| Capt | 0 | 9 | 0 | 0 | 0 | 0 | 0 | 22 | 0 | 0 | Capt | 0 | 0 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | Capt | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Capt | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Capt | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Capt | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Capt | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Capt | 0 | 0 |
| Mins | 3130 | 2400 | 1423 | 2198 | 1915 | 1938 | 1813 | 1717 | 1369 | 1281 | Mins | 933 | 1562 | 1118 | 1025 | 798 | 827 | 1003 | 994 | 1075 | 961 | Mins | 415 | 765 | 939 | 317 | 765 | 765 | 727 | 477 | 435 | 487 | Mins | 548 | 419 | 415 | 320 | 321 | 275 | 202 | 121 | 225 | 195 | Mins | 189 | 130 | 124 | 108 | 104 | 95 | 21 | 90 | 90 | 57 | Mins | 45 | 45 | 28 | 27 | 24 | 21 | 16 | 15 | 15 | 15 | Mins | 15 | 6 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Mins | 0 | 0 |
|  | none | 1 | 3 | 2 | 2 | 1 | 2 | 1 5 | 2 | 1 |  | 1 | 2 | 2 | 1 3 | 1 | 2 | none | 1 | 2 | 2 |  | 1 | none | 1 | 1 | 1 | 3 | none | 1 | none | 1 |  | none | 2 | 1 | none | 1 | none | none | none | none | none |  | none | none | none | none | none | none | none | none | none | none |  | none | none | none | none | none | none | none | none | none | none |  | none | none | none | none | none | none | none | none | none | none |  | none | none |
