# Clinical Presentation Frequency in Patients With Influenza (Symptom Percentages, Not Disease Frequency)

| Condition | Symptom/sign | Proportion of cases (%) | Setting | Notes |
|---|---|---:|---|---|
| Influenza | Fever | 85 | Outpatient | Adults |
| Influenza | Cough | 75 | Outpatient | Adults |
| Influenza | Sore throat | 50 | Outpatient | Adults |
| Influenza | Myalgia | 60 | Outpatient | Adults |
| Influenza | Headache | 55 | Outpatient | Adults |
| Influenza | Dyspnea | 15 | Outpatient | More in older adults |
| Influenza | Nausea/vomiting | 12 | Outpatient | Variable by strain |
| Influenza | Diarrhea | 8 | Outpatient | More in children |
| Influenza | Conjunctivitis | 5 | Outpatient | Occasional |
| Influenza | Otitis media | 10 | Pediatric | Complication |
| Influenza | Pneumonia (complication) | 3 | Mixed | Radiographic |
| Influenza | Hospitalization among cases | 2 | Mixed | Season-dependent |
