# Risk Factors and Odds Ratios for Selected Diseases (Frequency Not Reported)

| Disease/condition | Risk factor | Effect size (OR/RR) | Population | Adjustment |
|---|---|---:|---|---|
| Type 2 diabetes | Obesity (BMI ≥30) | 3.2 (RR) | Adults | Age/sex adjusted |
| Coronary artery disease | Smoking | 2.0 (RR) | Adults | Multivariable |
| Stroke | Hypertension | 3.8 (RR) | Adults | Multivariable |
| Lung cancer | Smoking (pack-years) | 15.0 (OR) | Adults | Multivariable |
| Osteoporosis | Long-term corticosteroids | 2.5 (OR) | Adults | Age/sex adjusted |
| Breast cancer | BRCA1 pathogenic variant | 7.0 (OR) | Women | Family history considered |
| Asthma | Indoor allergens | 1.6 (OR) | Children | Multivariable |
| Depression | Prior trauma exposure | 2.1 (OR) | Adults | Multivariable |
| Chronic kidney disease | Diabetes mellitus | 2.7 (RR) | Adults | Multivariable |
| Colorectal cancer | Low physical activity | 1.3 (RR) | Adults | Multivariable |
| Tuberculosis | HIV infection | 18.0 (RR) | Adults | Stratified |
| Preeclampsia | First pregnancy | 1.8 (RR) | Pregnant people | Multivariable |
