# News & Star | Sport | Football | Northern Lge Two

|   | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Team | Crook Town | Ryhope CW | Jarrow Roofing | Seaham Red Star | Northallerton Town | Darlington RA | North Shields | Whitehaven* | Morpeth Town | West Allotment Celtic | Washington | Chester-Le-Street | Tow Law Town | Ryton & Crawcrook Albion | Thornaby | Whickham | Birtley Town | Stokesley Sports Club | Brandon United* | Esh Winning* | Horden C.W. | Alnwick Town* |
| P | 27 | 26 | 23 | 26 | 26 | 28 | 24 | 27 | 20 | 24 | 26 | 27 | 24 | 27 | 26 | 29 | 25 | 25 | 24 | 26 | 28 | 24 |
| W | 20 | 18 | 16 | 15 | 14 | 13 | 14 | 14 | 12 | 11 | 10 | 8 | 8 | 9 | 8 | 7 | 6 | 6 | 6 | 7 | 4 | 5 |
| D | 4 | 4 | 2 | 4 | 6 | 9 | 5 | 6 | 6 | 6 | 3 | 8 | 7 | 1 | 3 | 5 | 4 | 4 | 5 | 2 | 4 | 2 |
| L | 3 | 4 | 5 | 7 | 6 | 6 | 5 | 7 | 2 | 7 | 13 | 11 | 9 | 17 | 15 | 17 | 15 | 15 | 13 | 17 | 20 | 17 |
| F | 81 | 100 | 54 | 57 | 65 | 50 | 50 | 70 | 56 | 51 | 47 | 38 | 42 | 35 | 42 | 37 | 33 | 39 | 31 | 29 | 29 | 34 |
| A | 46 | 38 | 25 | 49 | 39 | 40 | 26 | 49 | 24 | 45 | 59 | 40 | 41 | 56 | 64 | 63 | 54 | 65 | 53 | 57 | 78 | 59 |
| +/- | 35 | 62 | 29 | 8 | 26 | 10 | 24 | 21 | 32 | 6 | -12 | -2 | 1 | -21 | -22 | -26 | -21 | -26 | -22 | -28 | -49 | -25 |
| Pts | 64 | 58 | 50 | 49 | 48 | 48 | 47 | 45 | 42 | 39 | 33 | 32 | 31 | 28 | 27 | 26 | 22 | 22 | 20 | 20 | 16 | 14 |
