# Broad Bioactive Peptide and Neuroendocrine List  Feeding, Reproduction, Stress, and References

| Peptide/Hormone | Category | Feeding-related effect | Reproductive-related effect | Stress/arousal effect | Model species | Key citation |
| --- | --- | --- | --- | --- | --- | --- |
| Neuropeptide Y (NPY) | orexigenic | increases food intake | modulates GnRH pulse frequency | anxiolytic-like in some contexts | rodent | Clark et al., 1984 |
| Agouti-related peptide (AgRP) | orexigenic | increases food intake | indirect effects via energy balance | increases motivation for food | rodent | Ollmann et al., 1997 |
| α-MSH | anorexigenic | decreases food intake | influences sexual behavior circuitry | modulates stress responses | fish/rodent | Vergoni et al., 1986 |
| CRH | stress peptide | decreases food intake | can suppress LH secretion | initiates HPA axis | rodent | Vale et al., 1981 |
| Kisspeptin | reproductive | variable | stimulates GnRH/LH release | interacts with stress pathways | rodent/human | Seminara et al., 2003 |
| GLP-1 | incretin/neuropeptide | decreases appetite | permissive via metabolic state | reduces reward-driven feeding | rodent/human | Turton et al., 1996 |
| Oxytocin | neuropeptide | decreases meal size | supports mating/pair bonding | reduces anxiety in some settings | rodent | Carter, 1998 |
| Leptin | adipokine | decreases food intake | permissive for puberty | modulates HPA tone | rodent/human | Zhang et al., 1994 |
| Ghrelin | orexigenic | increases food intake | may affect gonadotropin secretion | increases cortisol in some studies | rodent/human | Kojima et al., 1999 |
