# Olympus Zuiko Digital (Four Thirds) DSLR Lenses  System-Fit and Use-Case Comparison

| Category | Lens model | Mount | Sensor coverage | AF drive | Weather sealing | Typical use case | Notes for system fit |
|---|---|---|---|---|---|---|---|
| Standard zoom | Zuiko Digital 14-54mm f/2.8-3.5 | Four Thirds (4/3) | Four Thirds | AF | Some versions sealed | General-purpose walkaround | Common midgrade zoom; balances well on E-3/E-30 |
| Standard zoom | Zuiko Digital 14-45mm f/3.5-5.6 | Four Thirds (4/3) | Four Thirds | AF | No | Entry kit / travel | Light kit option; slower aperture |
| Wide zoom | Zuiko Digital 11-22mm f/2.8-3.5 | Four Thirds (4/3) | Four Thirds | AF | No | Landscape / architecture | Ultra-wide coverage for 4/3 DSLR bodies |
| Wide zoom | Zuiko Digital 7-14mm f/4.0 | Four Thirds (4/3) | Four Thirds | AF | No | Ultra-wide pro work | Large front element; strong for interiors |
| Tele zoom | Zuiko Digital 40-150mm f/3.5-4.5 | Four Thirds (4/3) | Four Thirds | AF | No | Budget telephoto | Popular lightweight tele zoom |
| Tele zoom | Zuiko Digital 50-200mm f/2.8-3.5 | Four Thirds (4/3) | Four Thirds | AF | Often sealed | Sports / wildlife | Brighter tele zoom; pairs well with higher-end bodies |
| Prime | Zuiko Digital 50mm f/2.0 Macro | Four Thirds (4/3) | Four Thirds | AF | Often sealed | Macro / portraits | 1:2 macro; well-regarded sharpness |
| Prime | Zuiko Digital 35mm f/3.5 Macro | Four Thirds (4/3) | Four Thirds | AF | No | Macro on a budget | Compact macro option for 4/3 |
| Pro prime | Zuiko Digital 150mm f/2.0 | Four Thirds (4/3) | Four Thirds | AF | Yes | Indoor sports / stage | Fast tele prime; pro-oriented size/price |
| Super tele | Zuiko Digital 300mm f/2.8 | Four Thirds (4/3) | Four Thirds | AF | Yes | Wildlife / field sports | Flagship super-tele; specialized support gear often needed |
