# Cigarette Brand Market Share by Legal Sales (Selected European Markets) — Brand-Level Comparison

| Brand | Market Share (%) | Share Rank | Market/Region Covered | Year/Period | Metric Basis | Segment |
| --- | ---: | ---: | --- | --- | --- | --- |
| Marlboro | 9.8 | 1 | EU-5 (France, Germany, Italy, Spain, UK) | 2022 (FY) | Legal cigarette sales volume | Premium |
| Winston | 6.7 | 2 | EU-5 | 2022 (FY) | Legal cigarette sales volume | Mainstream |
| L&M | 5.9 | 3 | EU-5 | 2022 (FY) | Legal cigarette sales volume | Value/Mainstream |
| Chesterfield | 4.8 | 4 | EU-5 | 2022 (FY) | Legal cigarette sales volume | Mainstream |
| Camel | 4.1 | 5 | EU-5 | 2022 (FY) | Legal cigarette sales volume | Premium |
| Davidoff | 3.4 | 6 | EU-5 | 2022 (FY) | Legal cigarette sales volume | Premium |
| Gauloises | 2.9 | 7 | EU-5 | 2022 (FY) | Legal cigarette sales volume | Mainstream |
| Fortuna | 2.2 | 8 | EU-5 | 2022 (FY) | Legal cigarette sales volume | Value |
| West | 1.9 | 9 | EU-5 | 2022 (FY) | Legal cigarette sales volume | Value |
| Gitanes | 1.3 | 10 | EU-5 | 2022 (FY) | Legal cigarette sales volume | Mainstream |
