# EU Member States  Travel and Visa Indicators (Short-Stay Access Overview)

| Country | EU Member | Visa-Free to Japan (Short Stay) | Visa-Free to US ESTA | Passport Validity Rule (Common) | COVID-era Entry Note (Historical) |
|---|---|---|---|---|---|
| Austria | Yes | Yes | Yes | 3 months beyond departure | Restrictions varied |
| Belgium | Yes | Yes | Yes | 3 months beyond departure | Restrictions varied |
| Bulgaria | Yes | Yes | Yes | 3 months beyond departure | Restrictions varied |
| Croatia | Yes | Yes | Yes | 3 months beyond departure | Restrictions varied |
| Cyprus | Yes | Yes | Yes | 3 months beyond departure | Restrictions varied |
| Czechia | Yes | Yes | Yes | 3 months beyond departure | Restrictions varied |
| Denmark | Yes | Yes | Yes | 3 months beyond departure | Restrictions varied |
| Estonia | Yes | Yes | Yes | 3 months beyond departure | Restrictions varied |
| Finland | Yes | Yes | Yes | 3 months beyond departure | Restrictions varied |
| France | Yes | Yes | Yes | 3 months beyond departure | Restrictions varied |
| Germany | Yes | Yes | Yes | 3 months beyond departure | Restrictions varied |
| Greece | Yes | Yes | Yes | 3 months beyond departure | Restrictions varied |
