# ERP Vendor Directory with Typical Pricing (Mixed Content)

| Vendor | ERP Product | HQ Region | Primary Industry Focus | Deployment | Entry Subscription (USD/user/month) | Notes |
| --- | --- | --- | --- | --- | ---: | --- |
| SAP | S/4HANA Cloud | Global | Enterprise, Manufacturing | Cloud | 149 | Pricing shown is indicative; modules vary |
| Oracle | NetSuite | North America | Mid-market, Services | Cloud | 99 | Base user price; add-ons not included |
| Microsoft | Dynamics 365 Finance | Global | Enterprise | Cloud | 180 | Requires separate Power Platform licenses for some use cases |
| Infor | CloudSuite Industrial | North America/EMEA | Manufacturing | Cloud | 120 | Often sold via partners |
| Epicor | Kinetic | North America | Manufacturing | Cloud/Hybrid | 110 | Industry packs available |
| Odoo | Odoo Enterprise | Global | SMB | Cloud/On-prem | 31.10 | App-based pricing model |
| Sage | Sage X3 | EMEA | Distribution, Manufacturing | Cloud/On-prem | 75 | Commonly quoted per named user |
| Acumatica | Acumatica Cloud ERP | North America | Distribution, Construction | Cloud | (quote) | Sold via VARs; no public list price |
| IFS | IFS Cloud | Global | Asset-intensive industries | Cloud/Hybrid | (quote) | Contracted enterprise agreements |
| ERPNext | ERPNext | Global | SMB | Cloud/On-prem | 25 | Open-source; hosting adds cost |
