# Road Running Shoes Comparison (Daily Trainer to Tempo)

| Category | Shoe Model | Brand | Ride / Cushioning | Weight (men US 9) | Heel-to-Toe Drop | Midsole Foam | Upper Material | Intended Use |
|---|---|---|---|---:|---:|---|---|---|
| Daily trainer | Pegasus 40 | Nike | Balanced, moderately cushioned | 9.6 oz / 272 g | 10 mm | React (with Air units) | Engineered mesh | Easy runs, general mileage |
| Daily trainer | Ghost 15 | Brooks | Soft, stable-neutral feel | 10.1 oz / 286 g | 12 mm | DNA Loft v2 | Engineered air mesh | Daily miles, long easy runs |
| Daily trainer | Gel-Kayano 30 | ASICS | Stable, max-cushion support | 10.7 oz / 303 g | 10 mm | FF BLAST+ ECO | Engineered stretch knit | Overpronation support, long runs |
| Cushioned trainer | Clifton 9 | HOKA | Soft, lightweight cushion | 8.7 oz / 247 g | 5 mm | CMEVA | Engineered knit | Easy/steady runs, recovery |
| Cushioned trainer | Bondi 8 | HOKA | Max cushion, plush ride | 10.8 oz / 306 g | 4 mm | EVA | Engineered mesh | Recovery runs, long easy miles |
| Tempo / versatile | Mach 5 | HOKA | Snappy, responsive | 8.2 oz / 232 g | 5 mm | PROFLY+ | Creel jacquard mesh | Tempo runs, uptempo daily |
| Tempo / versatile | Endorphin Speed 3 | Saucony | Bouncy, fast trainer | 8.1 oz / 229 g | 8 mm | PWRRUN PB | Engineered mesh | Tempo, intervals, long workouts |
| Light stability | Adrenaline GTS 23 | Brooks | Guided, smooth cushion | 10.1 oz / 286 g | 12 mm | DNA Loft v2 | Engineered air mesh | Support for daily training |
| Performance trainer | Novablast 4 | ASICS | Bouncy, energetic | 9.1 oz / 258 g | 8 mm | FF BLAST+ ECO | Engineered woven | Daily + steady/tempo |
| Minimal / natural | Kinvara 14 | Saucony | Flexible, low-profile | 7.0 oz / 198 g | 4 mm | PWRRUN | Engineered mesh | Strides, faster easy runs |
| Trail-to-road option | Pegasus Trail 4 | Nike | Cushioned, grippy | 10.0 oz / 283 g | 9.5 mm | React | Engineered mesh | Light trail, mixed surfaces |
