# Constellation Border Adjacency List — Primary Adjacent Constellations per Entry

| Constellation | Adjacent constellation #1 | Adjacent constellation #2 | Adjacent constellation #3 | Adjacency basis | Sky region |
| --- | --- | --- | --- | --- | --- |
| Orion | Taurus | Gemini | Eridanus | Shared IAU boundary | Equatorial |
| Taurus | Orion | Auriga | Aries | Shared IAU boundary | Northern / Zodiac |
| Ursa Major | Draco | Canes Venatici | Leo Minor | Shared IAU boundary | Northern |
| Cygnus | Lyra | Vulpecula | Pegasus | Shared IAU boundary | Northern summer |
| Scorpius | Libra | Sagittarius | Ophiuchus | Shared IAU boundary | Zodiac / Southern |
| Sagittarius | Scorpius | Capricornus | Ophiuchus | Shared IAU boundary | Zodiac / Southern |
| Leo | Cancer | Virgo | Leo Minor | Shared IAU boundary | Zodiac |
| Andromeda | Pegasus | Perseus | Cassiopeia | Shared IAU boundary | Northern autumn |
| Cassiopeia | Cepheus | Andromeda | Perseus | Shared IAU boundary | Circumpolar |
| Aquarius | Capricornus | Pisces | Pegasus | Shared IAU boundary | Zodiac |
| Virgo | Leo | Libra | Boötes | Shared IAU boundary | Zodiac / Equatorial |
| Pegasus | Andromeda | Aquarius | Pisces | Shared IAU boundary | Northern autumn |
