# Volleyball Results - 2008 Beijing Summer Olympics - USATODAY.com

| Kazakhstan | Korrina Ishimtseva | Olga Nassedkina | Natalya Zhukova | Yelena Pavlova | Olga Karpova | Inna Matveyeva | Olga Grushko |
| --- | --- | --- | --- | --- | --- | --- | --- |
| TM | 5 | 5 | 5 | 5 | 5 | 5 | 5 |
| PM | 5 | 5 | 5 | 5 | 5 | 5 | 5 |
| TS | 17 | 17 | 17 | 17 | 17 | 17 | 17 |
| SP | 13 | 13 | 17 | 17 | 10 | 14 | 15 |
| PP | 2 | 5 | 6 | 17 | 2 | 9 | 8 |
| PF | 0 | 0 | 0 | 4 | 1 | 4 | 3 |
| PS | 1 | 6 | 8 | 14 | 0 | 8 | 18 |
| PT | 3 | 11 | 14 | 35 | 3 | 21 | 29 |
| PE | 66.67 | 45.45 | 42.86 | 37.14 | 33.33 | 23.81 | 17.24 |
