# Popular Dog Breeds Comparison (Size, Origin, Purpose, Temperament)

| Breed | Size Group | Origin | Typical Use | Coat Type | Energy Level | Common Temperament Traits |
|---|---|---|---|---|---|---|
| Labrador Retriever | Large | Canada (Newfoundland) | Retrieving, family companion | Short, double | High | Friendly, outgoing, eager-to-please |
| Golden Retriever | Large | Scotland | Retrieving, assistance work | Medium-long, double | High | Gentle, affectionate, trainable |
| German Shepherd Dog | Large | Germany | Herding, police/military | Medium, double | High | Confident, loyal, protective |
| Border Collie | Medium | United Kingdom (Border region) | Herding, sport | Medium, double | Very high | Intense, highly intelligent, responsive |
| Beagle | Small-Medium | United Kingdom | Scent hound, companion | Short | High | Curious, social, food-motivated |
| Dachshund | Small | Germany | Hunting (badger), companion | Smooth/long/wire | Medium | Bold, persistent, sometimes stubborn |
| Poodle (Standard) | Large | Germany/France | Water retrieving, sport | Curly, low-shedding | High | Intelligent, alert, people-oriented |
| French Bulldog | Small | France | Companion | Short | Low-Medium | Adaptable, playful, affectionate |
| Shiba Inu | Small-Medium | Japan | Hunting, companion | Double | Medium | Independent, alert, reserved with strangers |
| Great Dane | Giant | Germany | Guardian, companion | Short | Medium | Calm, friendly, steady |
| Siberian Husky | Medium | Siberia (Russia) | Sledding, sport | Double | Very high | Energetic, social, independent |
