# Solar Spectrum Lines and Inferred Element Presence (with Wavelengths and Instruments)

| Element inferred | Prominent line (nm) | Spectral region | Typical observation instrument | Inferred relative abundance (qualitative) | Solar feature/region |
|---|---:|---|---|---|---|
| Hydrogen | 656.28 | Visible (H-alpha) | Ground-based H-alpha telescope | Very high | Chromosphere |
| Helium | 587.56 | Visible (D3) | Spectrograph | High | Active regions |
| Sodium | 589.00 / 589.59 | Visible (D lines) | High-res spectrograph | Moderate | Photosphere |
| Calcium | 393.37 / 396.85 | Near-UV (H & K) | Solar spectrograph | Moderate | Chromosphere |
| Iron | 532.42 | Visible | Spectrograph | Moderate | Photosphere |
| Oxygen | 777.19 | Near-IR triplet | IR spectrograph | Moderate | Photosphere |
| Magnesium | 517.27 | Visible (b triplet) | Spectrograph | Moderate | Photosphere |
| Carbon | 430.00 (CH band) | Visible | Spectrograph | Moderate | Photosphere |
| Nitrogen | 746.83 | Near-IR | IR spectrograph | Low–moderate | Photosphere |
| Silicon | 390.55 | Near-UV | Solar UV spectrograph | Low–moderate | Photosphere |
