# Top Attractions in Major U.S. Cities (Not Limited to Capitals)

| City | State | Capital status | Attraction / Point of interest | Type |
|---|---|---|---|---|
| New York City | New York | Not a capital | Statue of Liberty | Monument |
| Los Angeles | California | Not a capital | Griffith Observatory | Viewpoint |
| Chicago | Illinois | Not a capital | Art Institute of Chicago | Museum |
| Seattle | Washington | Not a capital | Space Needle | Landmark |
| San Francisco | California | Not a capital | Golden Gate Bridge | Bridge |
| Miami | Florida | Not a capital | South Beach | Beach |
| Las Vegas | Nevada | Not a capital | The Strip | Entertainment district |
| Orlando | Florida | Not a capital | Walt Disney World | Theme park |
| Boston | Massachusetts | State capital | Freedom Trail | Historic route |
