# Categorized Food Items List (Whole Foods vs Prepared Foods)

| Food item | Food category | Whole vs prepared | Typical use | Simple notes |
|---|---|---|---|---|
| Brown rice | Grain | Whole food | Side dish, bowls | Whole grain option |
| Rice flour | Grain product | Ingredient | Baking, thickening | Gluten-free flour alternative |
| Soba noodles | Prepared staple | Prepared (dry noodles) | Soups, stir-fries | Often buckwheat-based |
| Spinach | Vegetable | Whole food | Salads, sauté | Leafy green |
| Cucumber | Vegetable | Whole food | Salads, pickling | High water content |
| Pumpkin | Vegetable | Whole food | Roasting, soups | Starchy; seasonal |
| Sauerkraut | Fermented food | Prepared | Side dish, topping | Fermented cabbage |
| Orange juice | Beverage | Processed | Drink | Less fiber than whole oranges |
| Cookies (packaged) | Snack/dessert | Prepared | Snack | Typically refined flour/sugar |
| Gravy | Sauce | Prepared | Topping | Often higher sodium |
| Lentils | Legume | Whole food | Soups, stews | Plant protein and fiber |
| Honeydew | Fruit | Whole food | Fresh snack | Melon; sweet and mild |
