# Share Apportionment

| Parish | % increase | Cowlinge | Denston | Lidgate | Ousden | Stansfield | Stradishall | Wickhambrook | Share | Support |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1999 | - | 3,737 | 3,880 | 3,737 | 3,737 | 2,636 | 2,636 | 3,737 | 24,100 | - |
| 2000 | (5.8%) | 3,978 | 3,978 | 3,978 | 3,978 | 2,805 | 2,805 | 3,978 | 25,500 | - |
| 2001 | (2.7%) | 4,369 | 4,369 | 4,369 | 4,369 | 2,885 | 1,500 | 4,369 | 26,230 | 2,500 |
| 2002 | (10.0%) | 4,806 | 4,806 | 4,806 | 4,806 | 3,174 | 1,650 | 4,806 | 28,854 | 2,750 |
| 2003 | (17.3%*) | 5,671 | 5,671 | 5,671 | 5,671 | 3,500 | 2,000 | 5,671 | 33,855 | 0 |
| 2004 | (7.5%) | 6,000 | 6,000 | 6,000 | 6,000 | 4,012 | 2,388 | 6,000 | 36,400 | 0 |
| 2005 | (5.9%) | 6,308 | 6,308 | 6,308 | 6,308 | 4,320 | 2,696 | 6,308 | 38,556 | 0 |
| 2006 | (4.8%) | 6,620 | 6,620 | 6,620 | 6,620 | 4,500 | 2,800 | 6,620 | 40,400 | 0 |
| 2007 | (13.5%) | 7,500 | 7,500 | 7,500 | 7,500 | 5,115 | 3,234 | 7,500 | 45,849 | 0 |
| 2008 | (4.3%) | 7,750 | 7,750 | 7,750 | 7,750 | 4,584 | 4,498 | 7,750 | 47,832 | 0 |
