# Stocks - Hot Stocks | Hot Stocks Losers

| Sym | RAS-C | RAS-A | IR | AHL | RE | ATE | RAS-B | MPW | DDR-J | FTAI | WSR | MSL | OWW | OAK-A | NLS | ACC | VOC | OFC | RUBI | BTH | IPI | NEFF | MQY | QTWO | HIL | TLYS | NXRT | RSO-C | BANC | RLH | PGZ | IVR-B | STAG | ARR-B | TSI | TNK | AHP | VR | NRK | IND | EXD | HEI.A | NWY | RST | TMK | AXS-C | CNK | BIOA | IFN | AMC | BFZ | RAS | MLP | CSI | MMC | BCS-A | HMLP | NCR | WUBA | USB-H | NQM | HEI | JMM | NSS | ANET | JPEP | NID | TREX | MXPT | ALR | TAC | SYX | AIT | AED | BSL | AVH | HUS-F | MYCC | LEO | LUB | POL | GFI | DDR-K | TG | RNDY | VCRA | VPV | WRB | BBF | UHT | OB | ESS | HSP | VSI | INZ | BXP-B | ONE | ST | STA-E | EGL |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Name | Rait Fin TR Pfd C | Rait Financial TR Pf | Ingersoll-Rand Plc (Ireland) | Aspen Insurance Holdings | Everest Re Group | Advantest Corporation Ads | Rait Financial TR Pf | Medical Properties Trust | Ddr Corp | Fortress Transportation & Infra | Whitestone REIT | Midsouth Bancorp | Orbitz Worldwide | Five Oaks Investment Corp. 8.75 | Nautilus Group | American Campus Communities Inc | Voc Energy Trust | Corporate Office Properties | The Rubicon Project Inc. | Blyth Inc | Intrepid Potash Inc | Neff Corp | Blackrock Muniyield Quality Fund | Q2 Holdings Inc | Hill International | Tilly's Inc | Nexpoint Residential Trust Inc | Resource Capital Corp. Preferre | First Pactrust Bancorp | Westcoast Hospitality Corp | Principal Real Estate Income F | Invesco Mortgage Capital Inc. | STI Inc | Armour Residential REIT Inc | Tcw Strategic | Teekay Tankers Ltd | Ashford Hospitality Prime Inc. | Validus Holdings | Nuveen Insured New York Tax-Free | ING Group N.V. | Eaton Vance Tax-Advantaged Bond | Heico Cp Cl A | New York & Company | Rosetta Stone | Torchmark Corp | Axis Capital Holdings Limited P | Cinemark Holdings Inc | Bioamber Inc | India Fund | Amc Entertainment Holdings Inc | Blackrock California Muni Trust | Rait Financial Trust | Maui Land & Pineapple Company | Cutwater Select Income Fund | Marsh & Mclennan Companies | Barclays Ads | Hoegh Lng Partners LP | NCR Corp | 58.Com Inc | U.S. Bancorp Dep Sh | Nuveen Investment Quality Fund | Heico Corp | Nuveen Multi-Market Income Fund Inc. | Nustar Logistics L.P. | Arista Networks Inc. | JP Energy Partners LP | Nuveen Intermediate Duration M | Trex Company | Maxpoint Interactive Inc. | Alere Inc | Transalta Corp | Systemax Inc | Applied Industrial Technologies | Aegon Nv | Blackstone Gso Senior Floating Rate | Avianca Holdings S.A. | HSBC USA Pfd F | Clubcorp Holdings Inc | Dreyfus Strategic Municipals | Luby's Inc | Polyone Corp | Gold Fields Ltd | Ddr Corp | Tredegar Corp | Roundy's Inc. Common Stock | Vocera Communications Inc | Invesco Pennsylvania Muni | W.R. Berkley Corp | Blackrock Muni Income Trust | Universal Health Realty Income Trust | Onebeacon Insurance Group | Essex Property Trust | Hospira Inc | Vitamin Shoppe Inc | ING Group N.V. | Boston Properties Inc | Higher One Holdings | Sensata Technologies Holding N.V. | Istar Financial Inc. 7.875% Pre | Engility Holdings Inc. Common |
| Std Dev | -4.15 | -4.12 | -4.02 | -3.27 | -3.08 | -2.89 | -2.83 | -2.83 | -2.72 | -2.62 | -2.55 | -2.48 | -2.45 | -2.42 | -2.40 | -2.40 | -2.34 | -2.32 | -2.31 | -2.26 | -2.21 | -2.21 | -2.11 | -2.11 | -2.08 | -2.07 | -2.06 | -1.97 | -1.96 | -1.94 | -1.94 | -1.94 | -1.93 | -1.92 | -1.89 | -1.87 | -1.86 | -1.84 | -1.81 | -1.81 | -1.79 | -1.78 | -1.74 | -1.70 | -1.70 | -1.68 | -1.67 | -1.66 | -1.65 | -1.64 | -1.63 | -1.62 | -1.61 | -1.60 | -1.56 | -1.54 | -1.53 | -1.53 | -1.53 | -1.53 | -1.51 | -1.49 | -1.48 | -1.48 | -1.46 | -1.45 | -1.43 | -1.43 | -1.41 | -1.41 | -1.39 | -1.39 | -1.39 | -1.39 | -1.38 | -1.37 | -1.36 | -1.35 | -1.35 | -1.33 | -1.32 | -1.32 | -1.32 | -1.32 | -1.32 | -1.32 | -1.29 | -1.29 | -1.28 | -1.28 | -1.28 | -1.27 | -1.27 | -1.26 | -1.26 | -1.26 | -1.25 | -1.25 | -1.24 | -1.24 |
| Last | 21.02 | 19.50 | 60.70 | 46.43 | 180.36 | 8.75 | 20.19 | 13.45 | 25.55 | 16.91 | 12.75 | 13.94 | 10.80 | 20.04 | 20.50 | 37.70 | 4.54 | 23.42 | 15.40 | 4.85 | 8.11 | 7.93 | 15.46 | 27.47 | 4.72 | 9.01 | 12.81 | 20.15 | 13.16 | 8.12 | 18.10 | 23.84 | 18.51 | 22.16 | 5.21 | 7.05 | 14.59 | 44.62 | 12.58 | 25.83 | 12.79 | 44.43 | 2.33 | 7.15 | 59.87 | 26.64 | 37.99 | 7.32 | 27.00 | 29.93 | 14.48 | 5.36 | 5.19 | 18.76 | 57.37 | 25.92 | 18.58 | 29.32 | 60.32 | 21.90 | 14.66 | 53.21 | 7.11 | 26.66 | 80.75 | 10.75 | 12.29 | 44.27 | 8.69 | 49.21 | 6.61 | 6.90 | 37.95 | 25.68 | 16.71 | 8.49 | 22.27 | 23.32 | 8.03 | 4.83 | 33.00 | 2.75 | 25.27 | 19.49 | 2.45 | 11.32 | 12.14 | 54.81 | 13.45 | 47.97 | 14.29 | 222.32 | 89.23 | 34.60 | 25.87 | 24.77 | 2.25 | 48.60 | 24.33 | 21.90 |
| Change | -1.26 | -1.10 | -4.30 | -1.76 | -6.19 | -0.56 | -0.76 | -0.35 | -0.31 | -0.61 | -0.29 | -0.47 | -0.22 | -1.07 | -0.89 | -0.97 | -0.19 | -0.57 | -0.57 | -0.25 | -0.49 | -0.58 | -0.20 | -1.47 | -0.13 | -0.33 | -0.35 | -0.58 | -0.26 | -0.32 | -0.26 | -0.25 | -0.54 | -0.38 | -0.06 | -0.44 | -0.31 | -0.67 | -0.10 | -0.10 | -0.14 | -1.06 | -0.12 | -0.24 | -1.34 | -0.17 | -0.79 | -0.37 | -0.44 | -0.82 | -0.08 | -0.16 | -0.17 | -0.18 | -0.70 | -0.09 | -0.83 | -0.68 | -2.57 | -0.11 | -0.07 | -0.97 | -0.06 | -0.16 | -1.99 | -0.33 | -0.07 | -1.22 | -0.44 | -0.83 | -0.15 | -0.18 | -0.60 | -0.13 | -0.09 | -0.30 | -0.17 | -0.31 | -0.05 | -0.11 | -1.00 | -0.13 | -0.17 | -0.61 | -0.09 | -0.27 | -0.05 | -1.04 | -0.05 | -0.74 | -0.23 | -1.99 | -0.12 | -0.55 | -0.07 | -0.23 | -0.07 | -0.85 | -0.07 | -0.31 |
| Percent | -5.66% | -5.34% | -6.62% | -3.65% | -3.32% | -6.02% | -3.63% | -2.54% | -1.20% | -3.48% | -2.22% | -3.26% | -2.00% | -5.07% | -4.16% | -2.51% | -4.02% | -2.38% | -3.57% | -4.90% | -5.70% | -6.82% | -1.28% | -5.08% | -2.68% | -3.53% | -2.66% | -2.80% | -1.94% | -3.79% | -1.42% | -1.04% | -2.83% | -1.69% | -1.14% | -5.87% | -2.08% | -1.48% | -0.79% | -0.39% | -1.08% | -2.33% | -4.90% | -3.25% | -2.19% | -0.63% | -2.04% | -4.81% | -1.60% | -2.67% | -0.55% | -2.90% | -3.17% | -0.95% | -1.21% | -0.35% | -4.28% | -2.27% | -4.09% | -0.50% | -0.48% | -1.79% | -0.84% | -0.60% | -2.41% | -2.98% | -0.57% | -2.68% | -4.82% | -1.66% | -2.22% | -2.54% | -1.56% | -0.50% | -0.54% | -3.41% | -0.76% | -1.31% | -0.62% | -2.23% | -2.94% | -4.51% | -0.67% | -3.03% | -3.54% | -2.33% | -0.41% | -1.86% | -0.37% | -1.52% | -1.58% | -0.89% | -0.13% | -1.56% | -0.27% | -0.92% | -3.02% | -1.72% | -0.29% | -1.40% |
| High | 22.08 | 20.45 | 62.00 | 46.73 | 185.20 | 9.50 | 20.86 | 13.78 | 25.75 | 17.53 | 13.15 | 14.78 | 11.03 | 20.86 | 21.50 | 38.71 | 4.56 | 23.99 | 16.04 | 5.15 | 8.76 | 8.53 | 15.79 | 29.00 | 4.88 | 9.33 | 13.10 | 20.79 | 13.45 | 8.50 | 18.33 | 24.09 | 19.14 | 22.57 | 5.27 | 7.51 | 14.98 | 45.37 | 12.66 | 25.91 | 12.90 | 45.80 | 2.45 | 7.48 | 60.18 | 26.92 | 38.65 | 7.65 | 27.40 | 31.02 | 14.53 | 5.55 | 5.34 | 18.91 | 58.10 | 26.02 | 19.63 | 30.11 | 62.78 | 22.07 | 14.74 | 54.54 | 7.13 | 26.82 | 83.89 | 11.36 | 12.33 | 45.85 | 9.23 | 50.35 | 6.62 | 7.14 | 38.69 | 25.87 | 16.86 | 9.14 | 22.36 | 23.77 | 8.11 | 4.94 | 33.89 | 2.87 | 25.70 | 20.16 | 2.59 | 11.67 | 12.18 | 55.46 | 13.52 | 48.65 | 14.53 | 224.03 | 89.36 | 35.21 | 25.94 | 25.43 | 2.34 | 49.31 | 24.45 | 22.16 |
| Low | 20.03 | 19.11 | 60.44 | 45.48 | 180.00 | 8.70 | 19.81 | 13.43 | 25.55 | 15.91 | 12.71 | 13.91 | 10.76 | 19.76 | 20.39 | 37.59 | 4.35 | 23.36 | 15.37 | 4.75 | 7.91 | 7.88 | 15.38 | 26.97 | 4.66 | 8.82 | 12.78 | 20.10 | 13.15 | 8.10 | 18.07 | 23.78 | 18.48 | 22.09 | 5.21 | 6.89 | 14.56 | 44.56 | 12.58 | 25.81 | 12.78 | 44.39 | 2.31 | 7.13 | 55.62 | 26.64 | 37.47 | 7.32 | 27.00 | 29.16 | 14.48 | 5.36 | 5.09 | 18.76 | 57.32 | 25.92 | 18.58 | 29.07 | 59.91 | 21.87 | 14.65 | 53.08 | 7.10 | 26.62 | 80.41 | 10.67 | 12.28 | 43.49 | 8.53 | 49.10 | 6.43 | 6.90 | 37.87 | 25.68 | 16.68 | 8.13 | 22.01 | 23.25 | 8.03 | 4.83 | 32.33 | 2.71 | 25.27 | 19.40 | 2.31 | 11.02 | 12.13 | 53.52 | 13.45 | 47.81 | 14.24 | 219.91 | 89.20 | 34.08 | 25.87 | 24.77 | 2.25 | 48.30 | 24.30 | 21.40 |
| Time | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 | 07/28/15 |
| Links |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
