# Semiconductor & Hardware Stocks — 1-Week Return Comparison

| Sector | Ticker | Company | 1-Week Return (%) | Direction |
|---|---|---|---:|---|
| Semiconductors | AMD | Advanced Micro Devices, Inc. | +3.20% | Up |
| Semiconductors | INTC | Intel Corp. | -1.85% | Down |
| Semiconductors | QCOM | QUALCOMM Inc. | +0.95% | Up |
| Semiconductors | AVGO | Broadcom Inc. | +2.40% | Up |
| Semiconductors | TXN | Texas Instruments Inc. | -0.60% | Down |
| Semiconductor Equipment | ASML | ASML Holding N.V. | +1.10% | Up |
| Semiconductor Equipment | AMAT | Applied Materials, Inc. | -2.05% | Down |
| Hardware | HPQ | HP Inc. | +0.35% | Up |
| Hardware | DELL | Dell Technologies Inc. | -0.90% | Down |
| Hardware | AAPL | Apple Inc. | +1.55% | Up |
