# Selected Broadway Musicals and Their Creative Teams (Director, Choreographer, Music Director)

| Broadway Musical | Opening Season | Creative Credit (mixed) | Notes |
|---|---:|---|---|
| Hamilton | 2015 | Director/Choreographer: Thomas Kail & Andy Blankenbuehler | Creative credit merges roles into one field |
| Wicked | 2003 | Director: Joe Mantello; Choreography: Wayne Cilento | Multiple creative roles in the director-focused column |
| The Lion King | 1997 | Direction & Design Concept: Julie Taymor | Direction is mixed with design concept credit |
| Chicago (Revival) | 1996 | Director: Walter Bobbie; Choreography: Ann Reinking | Column includes more than stage director |
| The Book of Mormon | 2011 | Directors: Trey Parker & Casey Nicholaw | Multiple people in the “director” entry |
| Cabaret (1998 Revival) | 1998 | Director: Sam Mendes; Choreography: Rob Marshall | Mixed creative credits rather than a clean director column |
| Fiddler on the Roof (2015 Revival) | 2015 | Director: Bartlett Sher; Musical Staging: Hofesh Shechter | Adds staging credit, not just an individual director |
| Hadestown | 2019 | Developed by/Directed by: Rachel Chavkin | Mixed “developed by” with directing credit |
| West Side Story (2009 Revival) | 2009 | Directed by: Arthur Laurents; Choreography: Joey McKneely | Director column contains multiple roles/people |
| Rent | 1996 | Directed by: Michael Greif; Associate Director: Kathleen Marshall | Includes associate director in same field |
