# Agricultural Biosecurity and Disease-Risk Projects  Funding and Focus Areas

| Project | Sector | Target disease(s) | Mentioned transmission/exposure route | Budget (USD) | Funding type | Outcome metric |
|---|---|---|---|---:|---|---|
| Farm Gate Biosecurity Toolkit | Livestock | Foot-and-mouth disease | Movement of animals; fomites | 420,000 | Grant | Adoption rate (%) |
| Poultry Health Upgrade | Poultry | Avian influenza | Contact with birds; aerosols in barns | 680,000 | Cost-share | Mortality reduction |
| Dairy Mastitis Control | Dairy | Mastitis pathogens | Milking equipment contamination | 310,000 | Grant | SCC reduction |
| Swine Transport Risk Model | Swine | ASF | Vehicle/transport contamination | 510,000 | Contract | Route risk score |
| Irrigation Water Safety Program | Crops | E. coli O157:H7 | Contaminated irrigation water | 275,000 | Grant | Positive tests per season |
| Rancher Training Series | Mixed | Brucellosis | Animal-contact exposure | 150,000 | Grant | Trainee count |
| Regional Surveillance Platform | Mixed | Multiple | Reporting network (not a route) | 900,000 | Program | Time-to-detection |
| Feed Supply Chain Audit | Mixed | Salmonella | Feed contamination | 230,000 | Grant | Noncompliance rate |
| Insurance-linked Risk Finance Pilot | Mixed | Multiple | Not specified | 1,200,000 | Finance | Payout timeliness |
