# Milestone Scientific Discoveries (Physics & Chemistry) — Item-by-item Overview

| Discovery (item) | Field | Year (announced/published) | Where it was made/found | Key discoverer(s)/team | Evidence or method (very short) | Why it matters (short note) |
| --- | --- | --- | --- | --- | --- | --- |
| X-rays | Physics | 1895 | University of Würzburg, Germany | Wilhelm C. Röntgen | Cathode-ray tube produced unknown penetrating radiation | Enabled medical imaging and transformed experimental physics |
| Electron (as a particle) | Physics | 1897 | Cavendish Laboratory, Cambridge, UK | J. J. Thomson | Measured charge-to-mass ratio in cathode rays | Founded modern atomic physics and electronics |
| Radioactivity (natural) | Physics/Chemistry | 1896 | Paris, France | Henri Becquerel | Uranium salts fogged photographic plates | Opened nuclear physics; led to radiation science |
| Atomic nucleus | Physics | 1911 | Manchester, UK | Ernest Rutherford (team) | Gold-foil scattering experiment | Replaced “plum pudding” model; basis for nuclear theory |
| General relativity | Physics | 1915 (theory); 1919 (test) | Berlin, Germany; tested in Sobral (Brazil) & Príncipe (West Africa) | Albert Einstein; A. Eddington (test expedition) | Mercury perihelion + solar-eclipse light-bending measurements | New framework for gravity; essential for cosmology and GPS corrections |
| Neutron | Physics | 1932 | Cambridge, UK | James Chadwick | Beryllium radiation experiments | Explained isotopes; crucial for reactors and nuclear structure |
| Cosmic microwave background (CMB) | Astronomy/Physics | 1965 | Holmdel, New Jersey, USA | Arno Penzias, Robert Wilson | Microwave horn antenna detected ~3 K background | Strong evidence for the Big Bang model |
| DNA double helix (structure) | Biology/Chemistry | 1953 | Cambridge & London, UK | James Watson, Francis Crick; key data by Rosalind Franklin, Maurice Wilkins | X-ray diffraction + model building | Explained heredity mechanism; launched molecular biology |
| Higgs boson | Particle Physics | 2012 | CERN, Geneva, Switzerland | ATLAS & CMS collaborations | Proton–proton collisions; statistical excess near 125 GeV | Completed Standard Model mechanism for particle masses |
| Gravitational waves (direct detection) | Physics | 2015 (announced 2016) | LIGO sites: Hanford (WA) & Livingston (LA), USA | LIGO Scientific Collaboration | Laser interferometry detected black-hole merger signal | New observational window on the universe (gravitational-wave astronomy) |
