# Household Chemicals Market Snapshot (Non-Product Context)

| Company | Segment | Mentioned Chemical | Revenue (USD M) | YoY Growth | Notes |
| --- | --- | --- | --- | --- | --- |
| CleanCo | Disinfectants | Sodium hypochlorite | 820 | +6.1% | Demand tied to public health |
| BrightHome | Laundry | Enzymes | 540 | +3.4% | Premium pods driving mix |
| FreshAir Inc. | Air care | Terpenes | 260 | -1.2% | Fragrance cost volatility |
| SparkleWorks | Surface cleaners | Quats (BAC) | 410 | +4.8% | Institutional channel growth |
| EcoWare | Multi-purpose | Acetic acid | 190 | +8.9% | Private label expansion |
| PipeRescue | Drain openers | Sodium hydroxide | 130 | +2.0% | Seasonality in sales |
| PoolPro | Water care | Calcium hypochlorite | 375 | +5.5% | Summer-driven demand |
| AutoShine | Auto care | Isopropyl alcohol | 220 | +1.1% | Stable pricing |
| GardenGuard | Outdoor | Glyphosate | 610 | -4.3% | Regulatory pressure |
