# Hormone Receptors  Tissue Expression Patterns and Subcellular Localization

| Receptor | Ligand (hormone) | Gene | High-expression tissues | Cell-type examples | Subcellular localization |
| --- | --- | --- | --- | --- | --- |
| Estrogen receptor alpha (ERα) | Estradiol | ESR1 | Breast, uterus, liver | Mammary epithelial cells | Nucleus/cytosol |
| Estrogen receptor beta (ERβ) | Estradiol | ESR2 | Ovary, prostate, lung | Granulosa cells | Nucleus/cytosol |
| Androgen receptor (AR) | Testosterone/DHT | AR | Prostate, muscle, skin | Myocytes, prostate epithelium | Nucleus/cytosol |
| Glucocorticoid receptor (GR) | Cortisol | NR3C1 | Immune cells, liver, brain | T cells, hepatocytes | Cytosol→nucleus |
| Mineralocorticoid receptor (MR) | Aldosterone | NR3C2 | Kidney, colon, heart | Distal tubule cells | Cytosol→nucleus |
| Thyroid hormone receptor beta (TRβ) | T3 | THRB | Liver, brain, pituitary | Hepatocytes, neurons | Nucleus |
| Insulin receptor (IR) | Insulin | INSR | Muscle, adipose, liver | Adipocytes, myocytes | Plasma membrane |
| Vasopressin V2 receptor | ADH (vasopressin) | AVPR2 | Kidney (collecting duct) | Principal cells | Plasma membrane |
| Oxytocin receptor | Oxytocin | OXTR | Uterus, mammary gland | Myometrial cells | Plasma membrane |
