# Global Fixed-Term Deposit Rates by Bank and Tenor (Selected Markets)

| Market | Bank/Provider | Product Type | Tenor | Min Deposit | Rate (APR) | Notes |
|---|---|---|---|---:|---:|---|
| United States | Chase | CD | 12 months | 1,000 | 4.60% | Online rate shown |
| United States | Ally Bank | CD | 18 months | 0 | 4.85% | No minimum |
| United Kingdom | Barclays | Fixed Savings | 12 months | 1,000 | 4.75% | Monthly interest option |
| Germany | Deutsche Bank | Term Deposit | 6 months | 10,000 | 3.20% | Corporate tier |
| India | State Bank of India | Fixed Deposit | 24 months | 10,000 | 7.10% | General public |
| Japan | MUFG Bank | Time Deposit | 12 months | 1,000,000 | 0.20% | Local currency |
| Brazil | Banco do Brasil | CDB | 12 months | 1,000 | 12.50% | Indexed alternatives exist |
| South Africa | Standard Bank | Fixed Deposit | 12 months | 5,000 | 8.40% | Step-up option |
| Australia | Commonwealth Bank | Term Deposit | 12 months | 5,000 | 4.55% | At maturity payout |
| Canada | RBC | GIC | 12 months | 500 | 5.05% | Non-redeemable |
| Mexico | BBVA México | Pagaré | 6 months | 10,000 | 9.80% | Promotional campaign |
