# Steroidogenesis and Thyroid Hormone Biosynthesis  Key Enzymes and Genes

| Pathway step | Enzyme / Protein | Gene symbol | Main tissue expression | Converts (substrate → product) | Hormone impact when deficient |
|---|---|---|---|---|---|
| Cholesterol transport | Steroidogenic acute regulatory protein | STAR | Adrenal, gonads | Cholesterol → mitochondrial cholesterol | Global steroid hormone decrease |
| Side-chain cleavage | P450scc (desmolase) | CYP11A1 | Adrenal, gonads | Cholesterol → pregnenolone | Low cortisol/aldosterone/sex steroids |
| 17α-hydroxylation | 17α-hydroxylase | CYP17A1 | Adrenal, gonads | Pregnenolone/progesterone → 17-hydroxylated forms | Low sex steroids, altered cortisol |
| 21-hydroxylation | 21-hydroxylase | CYP21A2 | Adrenal | Progesterone/17-OHP → DOC/11-deoxycortisol | CAH; low cortisol/aldosterone |
| 11β-hydroxylation | 11β-hydroxylase | CYP11B1 | Adrenal (ZF/ZR) | 11-deoxycortisol → cortisol | Hypertension/androgen excess patterns |
| Aldosterone synthesis | Aldosterone synthase | CYP11B2 | Adrenal (ZG) | DOC/corticosterone → aldosterone | Salt-wasting/hypoaldosteronism |
| Aromatization | Aromatase | CYP19A1 | Gonads, adipose | Androgens → estrogens | Low estradiol |
| Thyroid iodination | Thyroid peroxidase | TPO | Thyroid | Iodide + thyroglobulin → iodinated TG | Hypothyroidism |
| T4→T3 activation | Deiodinase type 2 | DIO2 | Brain, pituitary, BAT | T4 → T3 | Low local T3 signaling |
