# AlphaTech Inc. - Income Statement Profitability and Capital Structure Snapshot

| Line Item | FY2021 | FY2022 | FY2023 | Notes |
|---|---:|---:|---:|---|
| Revenue | 4,850 | 5,120 | 5,760 | USD millions |
| Gross Profit | 1,820 | 1,955 | 2,240 |  |
| Gross Margin | 37.5% | 38.2% | 38.9% |  |
| EBITDA | 910 | 955 | 1,080 |  |
| EBIT (Operating Income) | 640 | 675 | 770 |  |
| Net Income | 420 | 455 | 510 |  |
| Total Debt | 1,600 | 1,540 | 1,520 | Balance sheet item |
| Net Debt / EBITDA | 1.8x | 1.6x | 1.4x | Leverage ratio |
| Shares Outstanding (millions) | 210 | 212 | 215 | Capital structure |
| EPS (Diluted) | 2.00 | 2.15 | 2.37 | Per-share metric |
