# EU Countries by Administrative and Statistical Codes (NUTS ISO Focus)

| Country | ISO Alpha-2 | ISO Alpha-3 | ISO Numeric | NUTS Code Prefix | Eurostat Member Flag |
|---|---|---|---:|---|---|
| Austria | AT | AUT | 40 | AT | Yes |
| Belgium | BE | BEL | 56 | BE | Yes |
| Bulgaria | BG | BGR | 100 | BG | Yes |
| Croatia | HR | HRV | 191 | HR | Yes |
| Cyprus | CY | CYP | 196 | CY | Yes |
| Czechia | CZ | CZE | 203 | CZ | Yes |
| Denmark | DK | DNK | 208 | DK | Yes |
| Estonia | EE | EST | 233 | EE | Yes |
| Finland | FI | FIN | 246 | FI | Yes |
| France | FR | FRA | 250 | FR | Yes |
| Germany | DE | DEU | 276 | DE | Yes |
| Greece | EL | GRC | 300 | EL | Yes |
