# Academy Awards Ceremonies  Award Category Additions and Rule Changes by Year Range

| Year Range | Ceremony No. (Approx.) | Change Type | Category/Rule Affected | Description | Example Winner/Film Mentioned |
|---|---|---|---|---|---|
| 1934–1936 | 7th–8th | Category change | Supporting acting | Supporting categories began to take shape | The Informer (mentioned) |
| 1941–1943 | 14th–15th | Rule change | Documentary awards | Documentary recognition formalized | Prelude to War |
| 1956–1958 | 29th–30th | Category change | Foreign Language Film | Competitive format established | Nights of Cabiria |
| 1966–1968 | 39th–40th | Rule change | Music scoring | Original score rules revised | Doctor Zhivago |
| 1980–1982 | 53rd–54th | Category change | Makeup | Makeup category introduced | An American Werewolf in London |
| 2001–2003 | 74th–75th | Rule change | Animated Feature | Animated Feature added | Spirited Away |
| 2009–2011 | 82nd–83rd | Rule change | Best Picture field | Expanded nominee count | The Hurt Locker |
| 2019–2021 | 92nd–93rd | Rule change | Representation/eligibility | Inclusion standards announced | Nomadland |
| 2023–2025 | 96th–98th | Rule change | AI & authorship guidance | Interim guidance discussed | Oppenheimer (mentioned) |
