# Driver Standings with Car Assignment — Touring Championship Season Summary

| Season | Series | Driver | Team | Car Model (Secondary) | Car No. | Wins | Points |
|---|---|---|---|---|---:|---:|---:|
| 2019 | Touring Cup | Alex Jensen | Northline Racing | BMW 320i | 11 | 3 | 182 |
| 2019 | Touring Cup | Marco Silva | Apex Motorsport | Honda Civic Type R | 27 | 2 | 171 |
| 2019 | Touring Cup | Liam O'Connor | Harbor Works | Audi RS 3 LMS | 5 | 1 | 160 |
| 2019 | Touring Cup | Erik Lund | Fjord Performance | Volvo S60 | 18 | 1 | 154 |
| 2019 | Touring Cup | Noah Patel | Eastgate Autosport | Volkswagen Golf GTI TCR | 44 | 0 | 148 |
| 2019 | Touring Cup | Daniel Kim | Summit Racing | Hyundai i30 N TCR | 9 | 0 | 141 |
| 2019 | Touring Cup | Pierre Martin | Bleu Sport | Peugeot 308 TCR | 21 | 0 | 133 |
| 2019 | Touring Cup | Tomasz Nowak | Baltic Speed | SEAT León TCR | 77 | 0 | 129 |
| 2019 | Touring Cup | Miguel Costa | Iberia Racing | Alfa Romeo Giulietta TCR | 3 | 0 | 121 |
| 2019 | Touring Cup | Chris Walker | Redstone Motorsport | Ford Focus ST | 66 | 0 | 116 |
| 2019 | Touring Cup | Hiro Tanaka | Sakura Works | Toyota Corolla TCR | 88 | 0 | 109 |
| 2019 | Touring Cup | Samir Hassan | Desert Motorsport | Kia Ceed TCR | 14 | 0 | 98 |
