# World and regional religious affiliation distribution (population share, %)

| Geography level | Unit | Christianity (%) | Islam (%) | Hinduism (%) | Buddhism (%) | Judaism (%) | Unaffiliated (%) | Folk/Traditional (%) | Other (%) |
|---|---|---:|---:|---:|---:|---:|---:|---:|---:|
| World total | World | 31.0 | 24.0 | 15.0 | 7.0 | 0.2 | 16.0 | 6.0 | 0.8 |
| Region | Europe | 74.0 | 6.0 | 1.0 | 1.0 | 0.2 | 17.0 | 0.5 | 0.3 |
| Region | Middle East & North Africa | 4.0 | 93.0 | 0.3 | 0.2 | 0.6 | 1.2 | 0.3 | 0.4 |
| Region | Sub-Saharan Africa | 62.0 | 30.0 | 0.3 | 0.3 | 0.0 | 2.0 | 5.0 | 0.4 |
| Region | South Asia | 3.0 | 15.0 | 76.0 | 2.0 | 0.0 | 1.0 | 1.0 | 2.0 |
| Region | East Asia | 7.0 | 2.0 | 0.2 | 18.0 | 0.0 | 55.0 | 17.0 | 0.8 |
| Region | Southeast Asia | 16.0 | 42.0 | 4.0 | 14.0 | 0.0 | 8.0 | 15.0 | 1.0 |
| Region | North America | 70.0 | 1.5 | 1.2 | 1.0 | 2.0 | 22.0 | 1.0 | 1.3 |
| Region | Latin America & Caribbean | 82.0 | 1.0 | 0.5 | 0.3 | 0.0 | 13.0 | 2.5 | 0.7 |
