# Cookie and Tracking Inventory for Google Store Product Review Widgets

| Cookie Name | Domain | Provider | Category | Purpose | Retention |
| --- | --- | --- | --- | --- | --- |
| _ga | store.google.com | Google Analytics | Analytics | Distinguish users for site analytics | 2 years |
| _gid | store.google.com | Google Analytics | Analytics | Session-level analytics identifier | 24 hours |
| NID | google.com | Google | Advertising | Store preferences and ad personalization signals | 6 months |
| SOCS | google.com | Google | Necessary | Stores cookie consent choices | 13 months |
| __Secure-ENID | google.com | Google | Security | Fraud prevention and secure session support | 13 months |
| _gcl_au | store.google.com | Google Ads | Marketing | Conversion tracking for ads | 3 months |
| BVBRANDID | store.google.com | Bazaarvoice | Functional | Enables embedded product reviews display | 1 year |
| BVSESSID | store.google.com | Bazaarvoice | Functional | Maintains review widget session state | Session |
| OptanonConsent | store.google.com | OneTrust | Necessary | Manages consent categories | 1 year |
| AEC | google.com | Google | Security | Ensures requests are made by the user | 6 months |
