# Telebit-Style Dial-up and Cellular Modems Used With Cellphones (Legacy Networking Hardware Models)

| Hardware Model | Year Introduced | Device Category | Max Throughput | Interface | Power | Cellular/Phone Use Case | Notes |
|---|---|---|---|---|---|---|---|
| CellBlazer 100 | 1989 | External modem | 9.6 kbps | Serial | AC adapter | Connects via cellphone audio coupling | Designed for early mobile data |
| Trailblazer+ | 1986 | External modem | ~19.2 kbps | Serial | AC adapter | Not cellphone-specific | Classic PEP enhancement |
| QBlazer | 1991 | Portable modem | 9.6 kbps | Serial | Battery | Field dialing via phone line | Not a handset |
| QBlazer+ | 1992 | Portable modem | 14.4 kbps | Serial | Battery | Portable data over phone network | Legacy V.32bis |
| NetBlazer | 1993 | Router/modem | — | Ethernet | AC adapter | Uses phone network indirectly | Network appliance |
| WorldBlazer | 1994 | External modem | 28.8 kbps | Serial | AC adapter | Could be paired with cellular adapters | Not a phone |
| FastBlazer | 1994 | External modem | 28.8 kbps | Serial | AC adapter | Dial-up networking | Legacy hardware |
| TeleBlazer | 1995 | External modem | 28.8 kbps | Serial | AC adapter | Dial-up | Not a handset |
| PocketCell Data Coupler | 1990 | Accessory | — | Audio jack | Battery | Couples modem to cellphone speaker/mic | Accessory, not a phone |
| Cellular Data Interface Box | 1992 | Accessory | — | Serial | AC adapter | Bridges laptop and cellphone | Peripheral |
