# Linux Desktop Application Bundles (Including a BitTorrent Client Column)

| Category | Lightweight Bundle | Main App | Alternatives | Notes |
|---|---|---|---|---|
| Terminal Emulator | LXDE-style set | LXTerminal | xterm; roxterm | Basic terminal choices |
| Web Browser | Lightweight set | Midori | Falkon; Kazehakase | General browsing |
| Email Client | Lightweight set | Sylpheed | Claws Mail; Thunderbird | Mail clients |
| Instant Messaging | Lightweight set | Pidgin | Ayttm; Empathy | Chat apps |
| IRC | Lightweight set | XChat | HexChat; irssi | IRC clients |
| **BitTorrent** | Lightweight set | Transmission | qBittorrent; Deluge | **Only one column is torrent-related** |
| Office | Lightweight set | AbiWord | LibreOffice; Gnumeric | Productivity tools |
| Media Player | Lightweight set | VLC | MPV; GXine | Audio/video playback |
| Wireless | Lightweight set | Wicd | NetworkManager | Wi‑Fi management |
